EVENT TYPE,TIMESTAMP,DURATION,SESSION ID,TRANSACTION ID,DATASTORE,CONTEXT,TRACE ID,SUBSYSTEM,PHASE,SERVICE,SERVICE PHASE,COMMIT QUEUE ID,NODE,DEVICE,DEVICE PHASE,PACKAGE,MESSAGE,ANNOTATION
start,2024-02-03T12:27:11.479709,,42,50,running,cli,,,,,,,,,,,"applying transaction",
start,2024-02-03T12:27:11.479820,,42,50,running,cli,,,validate,,,,,,,,"validate",
start,2024-02-03T12:27:11.479894,,42,50,running,cli,,,,,,,,,,,"grabbing transaction lock",
stop,2024-02-03T12:27:11.479954,0.000060,42,50,running,cli,,,,,,,,,,,"grabbing transaction lock",
start,2024-02-03T12:27:11.480960,,42,50,running,cli,,,,,,,,,,,"creating rollback file",
stop,2024-02-03T12:27:11.483700,0.002740,42,50,running,cli,,,,,,,,,,,"creating rollback file",
start,2024-02-03T12:27:11.483780,,42,50,running,cli,,,,,,,,,,,"run transforms and transaction hooks",
stop,2024-02-03T12:27:11.484152,0.000372,42,50,running,cli,,,,,,,,,,,"run transforms and transaction hooks",
start,2024-02-03T12:27:11.484199,,42,50,running,cli,,,,,,,,,,,"mark inactive",
stop,2024-02-03T12:27:11.484400,0.000201,42,50,running,cli,,,,,,,,,,,"mark inactive",
start,2024-02-03T12:27:11.484519,,42,50,running,cli,,,,,,,,,,,"pre validate",
stop,2024-02-03T12:27:11.484631,0.000112,42,50,running,cli,,,,,,,,,,,"pre validate",
start,2024-02-03T12:27:11.484685,,42,50,running,cli,,,,,,,,,,,"run validation over the changeset",
stop,2024-02-03T12:27:11.484891,0.000206,42,50,running,cli,,,,,,,,,,,"run validation over the changeset",
start,2024-02-03T12:27:11.484929,,42,50,running,cli,,,,,,,,,,,"run dependency-triggered validation",
stop,2024-02-03T12:27:11.485335,0.000406,42,50,running,cli,,,,,,,,,,,"run dependency-triggered validation",
start,2024-02-03T12:27:11.485380,,42,50,running,cli,,,,,,,,,,,"check configuration policies",
stop,2024-02-03T12:27:11.485470,0.000090,42,50,running,cli,,,,,,,,,,,"check configuration policies",
stop,2024-02-03T12:27:11.485533,0.005713,42,50,running,cli,,,validate,,,,,,,,"validate",
start,2024-02-03T12:27:11.485568,,42,50,running,cli,,,write-start,,,,,,,,"write-start",
info,2024-02-03T12:27:11.485608,,42,50,running,cli,,cdb,write-start,,,,,,,,"write-start",
info,2024-02-03T12:27:11.485792,,42,50,running,cli,,ncs-internal-service-mux,write-start,,,,,,,,"write-start",
start,2024-02-03T12:27:11.486407,,42,50,running,cli,,,,,,,,,,,"check data kickers",
stop,2024-02-03T12:27:11.486504,0.000097,42,50,running,cli,,,,,,,,,,,"check data kickers",
stop,2024-02-03T12:27:11.486771,0.001203,42,50,running,cli,,,write-start,,,,,,,,"write-start",
start,2024-02-03T12:27:11.486813,,42,50,running,cli,,,prepare,,,,,,,,"prepare",
info,2024-02-03T12:27:11.486857,,42,50,running,cli,,cdb,prepare,,,,,,,,"prepare",
info,2024-02-03T12:27:11.487263,,42,50,running,cli,,ncs-internal-device-mgr,prepare,,,,,,,,"prepare",
stop,2024-02-03T12:27:11.489204,0.002391,42,50,running,cli,,,prepare,,,,,,,,"prepare",
start,2024-02-03T12:27:11.489245,,42,50,running,cli,,,commit,,,,,,,,"commit",
info,2024-02-03T12:27:11.489274,,42,50,running,cli,,cdb,commit,,,,,,,,"commit",
info,2024-02-03T12:27:11.490124,,42,50,running,cli,,ncs-internal-device-mgr,commit,,,,,,,,"commit",
info,2024-02-03T12:27:11.490979,,42,50,running,cli,,,,,,,,,,,"releasing transaction lock",
stop,2024-02-03T12:27:11.491025,0.001780,42,50,running,cli,,,commit,,,,,,,,"commit",
stop,2024-02-03T12:27:11.491063,0.011354,42,50,running,cli,,,,,,,,,,,"applying transaction",
