EVENT TYPE,TIMESTAMP,DURATION,SESSION ID,TRANSACTION ID,DATASTORE,CONTEXT,TRACE ID,SUBSYSTEM,PHASE,SERVICE,SERVICE PHASE,COMMIT QUEUE ID,NODE,DEVICE,DEVICE PHASE,PACKAGE,MESSAGE,ANNOTATION
start,2024-02-05T10:04:35.076626,,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"applying transaction",
start,2024-02-05T10:04:35.076733,,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"waiting to apply",
stop,2024-02-05T10:04:35.076813,0.000080,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"waiting to apply",
start,2024-02-05T10:04:35.076879,,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,validate,,,,,,,,"validate",
start,2024-02-05T10:04:35.076945,,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"creating rollback checkpoint",
stop,2024-02-05T10:04:35.087161,0.010216,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"creating rollback checkpoint",
start,2024-02-05T10:04:35.087438,,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"creating rollback file",
stop,2024-02-05T10:04:35.096353,0.008915,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"creating rollback file",
start,2024-02-05T10:04:35.096783,,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"creating pre-transform checkpoint",
stop,2024-02-05T10:04:35.096926,0.000143,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"creating pre-transform checkpoint",
start,2024-02-05T10:04:35.096993,,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"creating transform checkpoint",
stop,2024-02-05T10:04:35.097047,0.000054,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"creating transform checkpoint",
start,2024-02-05T10:04:35.097106,,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"run transforms and transaction hooks",
stop,2024-02-05T10:04:35.097259,0.000153,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"run transforms and transaction hooks",
start,2024-02-05T10:04:35.097306,,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"creating validation checkpoint",
stop,2024-02-05T10:04:35.097366,0.000060,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"creating validation checkpoint",
start,2024-02-05T10:04:35.097417,,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"mark inactive",
stop,2024-02-05T10:04:35.097753,0.000336,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"mark inactive",
start,2024-02-05T10:04:35.097890,,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"pre validate",
stop,2024-02-05T10:04:35.098033,0.000143,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"pre validate",
start,2024-02-05T10:04:35.098091,,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"run validation over the changeset",
stop,2024-02-05T10:04:35.098432,0.000341,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"run validation over the changeset",
start,2024-02-05T10:04:35.098499,,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"run dependency-triggered validation",
stop,2024-02-05T10:04:35.099117,0.000618,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"run dependency-triggered validation",
start,2024-02-05T10:04:35.099181,,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"check configuration policies",
stop,2024-02-05T10:04:35.099317,0.000136,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"check configuration policies",
start,2024-02-05T10:04:35.099447,,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"check for read-write conflicts",
stop,2024-02-05T10:04:35.099628,0.000181,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"check for read-write conflicts",
start,2024-02-05T10:04:35.099727,,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"taking transaction lock",
stop,2024-02-05T10:04:35.099794,0.000067,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"taking transaction lock",
start,2024-02-05T10:04:35.099839,,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"holding transaction lock",
start,2024-02-05T10:04:35.100051,,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"check for read-write conflicts",
stop,2024-02-05T10:04:35.100245,0.000194,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"check for read-write conflicts",
stop,2024-02-05T10:04:35.100295,0.023416,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,validate,,,,,,,,"validate",
start,2024-02-05T10:04:35.100339,,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,write-start,,,,,,,,"write-start",
info,2024-02-05T10:04:35.100392,,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,cdb,write-start,,,,,,,,"write-start",
info,2024-02-05T10:04:35.100550,,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,ncs-internal-service-mux,write-start,,,,,,,,"write-start",
start,2024-02-05T10:04:35.100709,,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,cdb,,,,,,,,,"match subscribers",
stop,2024-02-05T10:04:35.100769,0.000060,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,cdb,,,,,,,,,"match subscribers",
start,2024-02-05T10:04:35.100800,,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,cdb,,,,,,,,,"create pre commit running",
stop,2024-02-05T10:04:35.100925,0.000125,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,cdb,,,,,,,,,"create pre commit running",
start,2024-02-05T10:04:35.101006,,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,cdb,,,,,,,,,"write changeset",
stop,2024-02-05T10:04:35.101126,0.000120,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,cdb,,,,,,,,,"write changeset",
start,2024-02-05T10:04:35.101208,,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"check data kickers",
stop,2024-02-05T10:04:35.101292,0.000084,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"check data kickers",
stop,2024-02-05T10:04:35.101710,0.001371,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,write-start,,,,,,,,"write-start",
start,2024-02-05T10:04:35.101761,,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,prepare,,,,,,,,"prepare",
info,2024-02-05T10:04:35.101799,,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,cdb,prepare,,,,,,,,"prepare",
stop,2024-02-05T10:04:35.102314,0.000553,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,prepare,,,,,,,,"prepare",
start,2024-02-05T10:04:35.102378,,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,commit,,,,,,,,"commit",
info,2024-02-05T10:04:35.102444,,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,cdb,commit,,,,,,,,"commit",
start,2024-02-05T10:04:35.102646,,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,cdb,,,,,,,,,"switch to new running",
stop,2024-02-05T10:04:35.103194,0.000548,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,cdb,,,,,,,,,"switch to new running",
stop,2024-02-05T10:04:35.104894,0.005055,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"holding transaction lock",
stop,2024-02-05T10:04:35.104982,0.002604,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,commit,,,,,,,,"commit",
stop,2024-02-05T10:04:35.105063,0.028437,41,42,running,system,97eafbf2-fd5e-45c0-83ce-76dc01aeec30,,,,,,,,,,"applying transaction",
