EVENT TYPE,TIMESTAMP,DURATION,TRACE ID,SPAN ID,PARENT SPAN ID,SESSION ID,TRANSACTION ID,DATASTORE,CONTEXT,SUBSYSTEM,MESSAGE,ANNOTATION,ATTRIBUTE NAME,ATTRIBUTE VALUE,LINK TRACE ID,LINK SPAN ID
start,2024-02-05T10:04:13.441461,,44e4cdb9-9eca-48f9-9708-f0847a8198b0,6c84b0b565a3891c,,42,43,running,system,,"applying transaction",,,,,
start,2024-02-05T10:04:13.441524,,44e4cdb9-9eca-48f9-9708-f0847a8198b0,34d4827da16aa0de,6c84b0b565a3891c,42,43,running,system,,"waiting to apply",,,,,
stop,2024-02-05T10:04:13.441583,0.000059,44e4cdb9-9eca-48f9-9708-f0847a8198b0,34d4827da16aa0de,6c84b0b565a3891c,42,43,running,system,,"waiting to apply",,,,,
start,2024-02-05T10:04:13.441662,,44e4cdb9-9eca-48f9-9708-f0847a8198b0,8770222b20449918,6c84b0b565a3891c,42,43,running,system,,"validate",,transaction_phase,"validate",,
start,2024-02-05T10:04:13.441750,,44e4cdb9-9eca-48f9-9708-f0847a8198b0,dd08355a1e1cbcb3,8770222b20449918,42,43,running,system,,"creating rollback checkpoint",,,,,
stop,2024-02-05T10:04:13.441921,0.000171,44e4cdb9-9eca-48f9-9708-f0847a8198b0,dd08355a1e1cbcb3,8770222b20449918,42,43,running,system,,"creating rollback checkpoint",,,,,
start,2024-02-05T10:04:13.442130,,44e4cdb9-9eca-48f9-9708-f0847a8198b0,f4902983bc954f1c,8770222b20449918,42,43,running,system,,"creating rollback file",,,,,
stop,2024-02-05T10:04:13.444712,0.002582,44e4cdb9-9eca-48f9-9708-f0847a8198b0,f4902983bc954f1c,8770222b20449918,42,43,running,system,,"creating rollback file",,,,,
start,2024-02-05T10:04:13.445027,,44e4cdb9-9eca-48f9-9708-f0847a8198b0,e6ac495c045423a8,8770222b20449918,42,43,running,system,,"creating pre-transform checkpoint",,,,,
stop,2024-02-05T10:04:13.445307,0.000280,44e4cdb9-9eca-48f9-9708-f0847a8198b0,e6ac495c045423a8,8770222b20449918,42,43,running,system,,"creating pre-transform checkpoint",,,,,
start,2024-02-05T10:04:13.445431,,44e4cdb9-9eca-48f9-9708-f0847a8198b0,1dc5401ccb99418a,8770222b20449918,42,43,running,system,,"creating transform checkpoint",,,,,
stop,2024-02-05T10:04:13.445740,0.000309,44e4cdb9-9eca-48f9-9708-f0847a8198b0,1dc5401ccb99418a,8770222b20449918,42,43,running,system,,"creating transform checkpoint",,,,,
start,2024-02-05T10:04:13.445851,,44e4cdb9-9eca-48f9-9708-f0847a8198b0,b6260a6ebd3e9589,8770222b20449918,42,43,running,system,,"run transforms and transaction hooks",,,,,
stop,2024-02-05T10:04:13.446047,0.000196,44e4cdb9-9eca-48f9-9708-f0847a8198b0,b6260a6ebd3e9589,8770222b20449918,42,43,running,system,,"run transforms and transaction hooks",,,,,
start,2024-02-05T10:04:13.446192,,44e4cdb9-9eca-48f9-9708-f0847a8198b0,9e0d22dbb524c315,8770222b20449918,42,43,running,system,,"creating validation checkpoint",,,,,
stop,2024-02-05T10:04:13.446391,0.000199,44e4cdb9-9eca-48f9-9708-f0847a8198b0,9e0d22dbb524c315,8770222b20449918,42,43,running,system,,"creating validation checkpoint",,,,,
start,2024-02-05T10:04:13.446470,,44e4cdb9-9eca-48f9-9708-f0847a8198b0,78976a863a24cabb,8770222b20449918,42,43,running,system,,"mark inactive",,,,,
stop,2024-02-05T10:04:13.446773,0.000303,44e4cdb9-9eca-48f9-9708-f0847a8198b0,78976a863a24cabb,8770222b20449918,42,43,running,system,,"mark inactive",,,,,
