EVENT TYPE,TIMESTAMP,DURATION,SESSION ID,TRANSACTION ID,DATASTORE,CONTEXT,TRACE ID,SUBSYSTEM,PHASE,SERVICE,SERVICE PHASE,COMMIT QUEUE ID,NODE,DEVICE,DEVICE PHASE,PACKAGE,MESSAGE,ANNOTATION
start,2023-04-25T12:32:09.655887,,2012,22020,running,cli,,,,,,,,ios75,,,"sync-from",
start,2023-04-25T12:32:09.655995,,2012,22005,running,cli,,,,,,,,ios1,,,"sync-from",
start,2023-04-25T12:32:09.656139,,2012,22015,running,cli,,,,,,,,ios66,,,"sync-from",
start,2023-04-25T12:32:09.656235,,2012,22018,running,cli,,,,,,,,ios71,,,"sync-from",
start,2023-04-25T12:32:09.656316,,2012,22016,running,cli,,,,,,,,ios68,,,"sync-from",
start,2023-04-25T12:32:09.656421,,2012,22005,running,cli,,,,,,,,ios1,,,"taking device lock",
start,2023-04-25T12:32:09.656434,,2012,22020,running,cli,,,,,,,,ios75,,,"taking device lock",
start,2023-04-25T12:32:09.656447,,2012,22044,running,cli,,,,,,,,ios10,,,"sync-from",
stop,2023-04-25T12:32:09.656560,0.000139,2012,22005,running,cli,,,,,,,,ios1,,,"taking device lock",
start,2023-04-25T12:32:09.656612,,2012,22051,running,cli,,,,,,,,ios70,,,"sync-from",
start,2023-04-25T12:32:09.656785,,2012,22009,running,cli,,,,,,,,ios19,,,"sync-from",
stop,2023-04-25T12:32:09.656801,0.000367,2012,22020,running,cli,,,,,,,,ios75,,,"taking device lock",
start,2023-04-25T12:32:09.657010,,2012,22015,running,cli,,,,,,,,ios66,,,"taking device lock",
start,2023-04-25T12:32:09.657028,,2012,22044,running,cli,,,,,,,,ios10,,,"taking device lock",
start,2023-04-25T12:32:09.657020,,2012,22018,running,cli,,,,,,,,ios71,,,"taking device lock",
start,2023-04-25T12:32:09.657031,,2012,22016,running,cli,,,,,,,,ios68,,,"taking device lock",
start,2023-04-25T12:32:09.657108,,2012,22009,running,cli,,,,,,,,ios19,,,"taking device lock",
stop,2023-04-25T12:32:09.657124,0.000114,2012,22015,running,cli,,,,,,,,ios66,,,"taking device lock",
start,2023-04-25T12:32:09.657316,,2012,22061,running,cli,,,,,,,,ios30,,,"sync-from",
stop,2023-04-25T12:32:09.657471,0.000443,2012,22044,running,cli,,,,,,,,ios10,,,"taking device lock",
stop,2023-04-25T12:32:09.657670,0.000650,2012,22018,running,cli,,,,,,,,ios71,,,"taking device lock",
stop,2023-04-25T12:32:09.657838,0.000807,2012,22016,running,cli,,,,,,,,ios68,,,"taking device lock",
start,2023-04-25T12:32:09.658078,,2012,22037,running,cli,,,,,,,,ios56,,,"sync-from",
start,2023-04-25T12:32:09.658310,,2012,22021,running,cli,,,,,,,,ios26,,,"sync-from",
stop,2023-04-25T12:32:09.658375,0.001267,2012,22009,running,cli,,,,,,,,ios19,,,"taking device lock",
start,2023-04-25T12:32:09.658524,,2012,22061,running,cli,,,,,,,,ios30,,,"taking device lock",
start,2023-04-25T12:32:09.658563,,2012,22051,running,cli,,,,,,,,ios70,,,"taking device lock",
stop,2023-04-25T12:32:09.658656,0.000132,2012,22061,running,cli,,,,,,,,ios30,,,"taking device lock",
stop,2023-04-25T12:32:09.658893,0.000330,2012,22051,running,cli,,,,,,,,ios70,,,"taking device lock",
start,2023-04-25T12:32:09.659120,,2012,22037,running,cli,,,,,,,,ios56,,,"taking device lock",
start,2023-04-25T12:32:09.659118,,2012,22021,running,cli,,,,,,,,ios26,,,"taking device lock",
stop,2023-04-25T12:32:09.659218,0.000098,2012,22037,running,cli,,,,,,,,ios56,,,"taking device lock",
stop,2023-04-25T12:32:09.659405,0.000287,2012,22021,running,cli,,,,,,,,ios26,,,"taking device lock",
start,2023-04-25T12:32:09.659422,,2012,22043,running,cli,,,,,,,,ios62,,,"sync-from",
start,2023-04-25T12:32:09.659679,,2012,22028,running,cli,,,,,,,,ios36,,,"sync-from",
start,2023-04-25T12:32:09.659969,,2012,22043,running,cli,,,,,,,,ios62,,,"taking device lock",
stop,2023-04-25T12:32:09.660071,0.000102,2012,22043,running,cli,,,,,,,,ios62,,,"taking device lock",
start,2023-04-25T12:32:09.660242,,2012,22028,running,cli,,,,,,,,ios36,,,"taking device lock",
stop,2023-04-25T12:32:09.660333,0.000091,2012,22028,running,cli,,,,,,,,ios36,,,"taking device lock",
start,2023-04-25T12:32:09.660639,,2012,22033,running,cli,,,,,,,,ios48,,,"sync-from",
start,2023-04-25T12:32:09.660856,,2012,22033,running,cli,,,,,,,,ios48,,,"taking device lock",
stop,2023-04-25T12:32:09.660961,0.000105,2012,22033,running,cli,,,,,,,,ios48,,,"taking device lock",
start,2023-04-25T12:32:09.661556,,2012,22046,running,cli,,,,,,,,ios16,,,"sync-from",
start,2023-04-25T12:32:09.661776,,2012,22046,running,cli,,,,,,,,ios16,,,"taking device lock",
stop,2023-04-25T12:32:09.661884,0.000108,2012,22046,running,cli,,,,,,,,ios16,,,"taking device lock",
start,2023-04-25T12:32:09.662870,,2012,22007,running,cli,,,,,,,,ios11,,,"sync-from",
start,2023-04-25T12:32:09.663107,,2012,22007,running,cli,,,,,,,,ios11,,,"taking device lock",
stop,2023-04-25T12:32:09.663202,0.000095,2012,22007,running,cli,,,,,,,,ios11,,,"taking device lock",
start,2023-04-25T12:32:09.663423,,2012,22038,running,cli,,,,,,,,ios55,,,"sync-from",
start,2023-04-25T12:32:09.663753,,2012,22038,running,cli,,,,,,,,ios55,,,"taking device lock",
stop,2023-04-25T12:32:09.663851,0.000098,2012,22038,running,cli,,,,,,,,ios55,,,"taking device lock",
start,2023-04-25T12:32:09.664526,,2012,22031,running,cli,,,,,,,,ios47,,,"sync-from",
start,2023-04-25T12:32:09.664721,,2012,22031,running,cli,,,,,,,,ios47,,,"taking device lock",
stop,2023-04-25T12:32:09.664831,0.000110,2012,22031,running,cli,,,,,,,,ios47,,,"taking device lock",
start,2023-04-25T12:32:09.665303,,2012,22008,running,cli,,,,,,,,ios58,,,"sync-from",
