EVENT TYPE,TIMESTAMP,DURATION,SESSION ID,TRANSACTION ID,DATASTORE,CONTEXT,TRACE ID,SUBSYSTEM,PHASE,SERVICE,SERVICE PHASE,COMMIT QUEUE ID,NODE,DEVICE,DEVICE PHASE,PACKAGE,MESSAGE,ANNOTATION
start,2023-04-24T23:14:12.321962,,1486,18217,running,cli,,,,,,,,ios0,,,"sync-from",
start,2023-04-24T23:14:12.322315,,1486,18217,running,cli,,,,,,,,ios0,,,"taking device lock",
stop,2023-04-24T23:14:12.322522,0.000207,1486,18217,running,cli,,,,,,,,ios0,,,"taking device lock",
start,2023-04-24T23:14:12.326040,,1486,18217,running,cli,,,,,,,,ios0,connect,,"connect",
info,2023-04-24T23:14:12.326193,,1486,18217,running,cli,,,,,,,,ios0,connect,,"send NED connect",
start,2023-04-24T23:14:12.674030,,1486,18217,running,cli,,,,,,,,ios0,connect,cisco-ios-cli-6.77,"connecting",
stop,2023-04-24T23:14:12.783250,0.109220,1486,18217,running,cli,,,,,,,,ios0,connect,cisco-ios-cli-6.77,"connecting",
start,2023-04-24T23:14:12.907200,,1689,18230,operational,system,,,,,,,,,,,"applying transaction",
info,2023-04-24T23:14:12.907349,,1689,18230,operational,system,,,,,,,,,,,"transaction empty",
stop,2023-04-24T23:14:12.907632,0.000432,1689,18230,operational,system,,,,,,,,,,,"applying transaction","empty"
info,2023-04-24T23:14:12.908007,,1486,18217,running,cli,,,,,,,,ios0,connect,,"send NED is-alive",
stop,2023-04-24T23:14:12.908266,0.582226,1486,18217,running,cli,,,,,,,,ios0,connect,,"connect",
start,2023-04-24T23:14:12.908405,,1486,18217,running,cli,,,,,,,,ios0,show,,"show",
info,2023-04-24T23:14:12.995881,,1486,18217,running,cli,,,,,,,,ios0,show,,"send NED show",
start,2023-04-24T23:14:12.997195,,1486,18217,running,cli,,,,,,,,ios0,show,cisco-ios-cli-6.77,"reading config",
stop,2023-04-24T23:14:13.097978,0.100783,1486,18217,running,cli,,,,,,,,ios0,show,cisco-ios-cli-6.77,"reading config",
start,2023-04-24T23:14:13.099348,,1486,18217,running,cli,,,,,,,,ios0,show,cisco-ios-cli-6.77,"transforming input",
stop,2023-04-24T23:14:13.105359,0.006011,1486,18217,running,cli,,,,,,,,ios0,show,cisco-ios-cli-6.77,"transforming input",
start,2023-04-24T23:14:13.111932,,1486,18217,running,cli,,,,,,,,ios0,show,cisco-ios-cli-6.77,"extended parsing",
stop,2023-04-24T23:14:13.115137,0.003205,1486,18217,running,cli,,,,,,,,ios0,show,cisco-ios-cli-6.77,"extended parsing",
start,2023-04-24T23:14:13.115951,,1486,18217,running,cli,,,,,,,,ios0,show,cisco-ios-cli-6.77,"populating cdb",
stop,2023-04-24T23:14:13.375857,0.259906,1486,18217,running,cli,,,,,,,,ios0,show,cisco-ios-cli-6.77,"populating cdb",
stop,2023-04-24T23:14:13.376469,0.468064,1486,18217,running,cli,,,,,,,,ios0,show,,"show",
start,2023-04-24T23:14:13.378072,,1486,18217,running,cli,,,,,,,,,,,"applying transaction",
start,2023-04-24T23:14:13.378134,,1486,18217,running,cli,,,validate,,,,,,,,"validate",
start,2023-04-24T23:14:13.378207,,1486,18217,running,cli,,,,,,,,,,,"grabbing transaction lock",
stop,2023-04-24T23:14:13.378279,0.000072,1486,18217,running,cli,,,,,,,,,,,"grabbing transaction lock",
start,2023-04-24T23:14:13.378326,,1486,18217,running,cli,,,,,,,,,,,"check and resolve conflicts",
stop,2023-04-24T23:14:13.378673,0.000347,1486,18217,running,cli,,,,,,,,,,,"check and resolve conflicts",
start,2023-04-24T23:14:13.379401,,1486,18217,running,cli,,,,,,,,,,,"creating rollback file",
stop,2023-04-24T23:14:13.380967,0.001566,1486,18217,running,cli,,,,,,,,,,,"creating rollback file",
start,2023-04-24T23:14:13.381048,,1486,18217,running,cli,,,,,,,,,,,"run transforms and transaction hooks",
stop,2023-04-24T23:14:13.383723,0.002675,1486,18217,running,cli,,,,,,,,,,,"run transforms and transaction hooks",
start,2023-04-24T23:14:13.383769,,1486,18217,running,cli,,,,,,,,,,,"mark inactive",
stop,2023-04-24T23:14:13.384085,0.000316,1486,18217,running,cli,,,,,,,,,,,"mark inactive",
start,2023-04-24T23:14:13.384221,,1486,18217,running,cli,,,,,,,,,,,"pre validate",
stop,2023-04-24T23:14:13.384491,0.000270,1486,18217,running,cli,,,,,,,,,,,"pre validate",
start,2023-04-24T23:14:13.384531,,1486,18217,running,cli,,,,,,,,,,,"run validation over the changeset",
stop,2023-04-24T23:14:13.384710,0.000179,1486,18217,running,cli,,,,,,,,,,,"run validation over the changeset",
start,2023-04-24T23:14:13.384758,,1486,18217,running,cli,,,,,,,,,,,"run dependency-triggered validation",
stop,2023-04-24T23:14:13.385154,0.000396,1486,18217,running,cli,,,,,,,,,,,"run dependency-triggered validation",
start,2023-04-24T23:14:13.385206,,1486,18217,running,cli,,,,,,,,,,,"check configuration policies",
stop,2023-04-24T23:14:13.385282,0.000076,1486,18217,running,cli,,,,,,,,,,,"check configuration policies",
info,2023-04-24T23:14:13.385375,,1486,18217,running,cli,,,,,,,,,,,"transaction empty",
info,2023-04-24T23:14:13.385680,,1486,18217,running,cli,,,,,,,,,,,"releasing transaction lock",
stop,2023-04-24T23:14:13.385847,0.007713,1486,18217,running,cli,,,validate,,,,,,,,"validate",
stop,2023-04-24T23:14:13.385897,0.007825,1486,18217,running,cli,,,,,,,,,,,"applying transaction","empty"
info,2023-04-24T23:14:13.398896,,1486,18217,running,cli,,,,,,,,ios0,,,"releasing device lock",
stop,2023-04-24T23:14:13.399335,1.077373,1486,18217,running,cli,,,,,,,,ios0,,,"sync-from",
start,2023-04-24T23:14:13.405442,,1486,18238,running,cli,,,,,,,,ios1,,,"sync-from",
start,2023-04-24T23:14:13.405718,,1486,18238,running,cli,,,,,,,,ios1,,,"taking device lock",
stop,2023-04-24T23:14:13.405825,0.000107,1486,18238,running,cli,,,,,,,,ios1,,,"taking device lock",
start,2023-04-24T23:14:13.411001,,1486,18238,running,cli,,,,,,,,ios1,connect,,"connect",
info,2023-04-24T23:14:13.411153,,1486,18238,running,cli,,,,,,,,ios1,connect,,"send NED connect",
start,2023-04-24T23:14:13.725831,,1486,18238,running,cli,,,,,,,,ios1,connect,cisco-ios-cli-6.77,"connecting",
stop,2023-04-24T23:14:13.835604,0.109773,1486,18238,running,cli,,,,,,,,ios1,connect,cisco-ios-cli-6.77,"connecting",
start,2023-04-24T23:14:13.959841,,1691,18251,operational,system,,,,,,,,,,,"applying transaction",
info,2023-04-24T23:14:13.959947,,1691,18251,operational,system,,,,,,,,,,,"transaction empty",
stop,2023-04-24T23:14:13.960235,0.000394,1691,18251,operational,system,,,,,,,,,,,"applying transaction","empty"
info,2023-04-24T23:14:13.960617,,1486,18238,running,cli,,,,,,,,ios1,connect,,"send NED is-alive",
stop,2023-04-24T23:14:13.960837,0.549836,1486,18238,running,cli,,,,,,,,ios1,connect,,"connect",
start,2023-04-24T23:14:13.961009,,1486,18238,running,cli,,,,,,,,ios1,show,,"show",
info,2023-04-24T23:14:14.051812,,1486,18238,running,cli,,,,,,,,ios1,show,,"send NED show",
start,2023-04-24T23:14:14.053091,,1486,18238,running,cli,,,,,,,,ios1,show,cisco-ios-cli-6.77,"reading config",
stop,2023-04-24T23:14:14.159354,0.106263,1486,18238,running,cli,,,,,,,,ios1,show,cisco-ios-cli-6.77,"reading config",
start,2023-04-24T23:14:14.162152,,1486,18238,running,cli,,,,,,,,ios1,show,cisco-ios-cli-6.77,"transforming input",
stop,2023-04-24T23:14:14.169757,0.007605,1486,18238,running,cli,,,,,,,,ios1,show,cisco-ios-cli-6.77,"transforming input",
start,2023-04-24T23:14:14.179449,,1486,18238,running,cli,,,,,,,,ios1,show,cisco-ios-cli-6.77,"extended parsing",
stop,2023-04-24T23:14:14.182775,0.003326,1486,18238,running,cli,,,,,,,,ios1,show,cisco-ios-cli-6.77,"extended parsing",
start,2023-04-24T23:14:14.183429,,1486,18238,running,cli,,,,,,,,ios1,show,cisco-ios-cli-6.77,"populating cdb",
stop,2023-04-24T23:14:14.436391,0.252962,1486,18238,running,cli,,,,,,,,ios1,show,cisco-ios-cli-6.77,"populating cdb",
stop,2023-04-24T23:14:14.437076,0.476067,1486,18238,running,cli,,,,,,,,ios1,show,,"show",
start,2023-04-24T23:14:14.438836,,1486,18238,running,cli,,,,,,,,,,,"applying transaction",
start,2023-04-24T23:14:14.438898,,1486,18238,running,cli,,,validate,,,,,,,,"validate",
start,2023-04-24T23:14:14.438964,,1486,18238,running,cli,,,,,,,,,,,"grabbing transaction lock",
stop,2023-04-24T23:14:14.439035,0.000071,1486,18238,running,cli,,,,,,,,,,,"grabbing transaction lock",
start,2023-04-24T23:14:14.439077,,1486,18238,running,cli,,,,,,,,,,,"check and resolve conflicts",
stop,2023-04-24T23:14:14.439451,0.000374,1486,18238,running,cli,,,,,,,,,,,"check and resolve conflicts",
start,2023-04-24T23:14:14.440336,,1486,18238,running,cli,,,,,,,,,,,"creating rollback file",
stop,2023-04-24T23:14:14.442022,0.001686,1486,18238,running,cli,,,,,,,,,,,"creating rollback file",
start,2023-04-24T23:14:14.442140,,1486,18238,running,cli,,,,,,,,,,,"run transforms and transaction hooks",
stop,2023-04-24T23:14:14.445426,0.003286,1486,18238,running,cli,,,,,,,,,,,"run transforms and transaction hooks",
start,2023-04-24T23:14:14.445481,,1486,18238,running,cli,,,,,,,,,,,"mark inactive",
stop,2023-04-24T23:14:14.445870,0.000389,1486,18238,running,cli,,,,,,,,,,,"mark inactive",
start,2023-04-24T23:14:14.446000,,1486,18238,running,cli,,,,,,,,,,,"pre validate",
stop,2023-04-24T23:14:14.446294,0.000294,1486,18238,running,cli,,,,,,,,,,,"pre validate",
start,2023-04-24T23:14:14.446337,,1486,18238,running,cli,,,,,,,,,,,"run validation over the changeset",
stop,2023-04-24T23:14:14.446548,0.000211,1486,18238,running,cli,,,,,,,,,,,"run validation over the changeset",
start,2023-04-24T23:14:14.446601,,1486,18238,running,cli,,,,,,,,,,,"run dependency-triggered validation",
stop,2023-04-24T23:14:14.447137,0.000536,1486,18238,running,cli,,,,,,,,,,,"run dependency-triggered validation",
start,2023-04-24T23:14:14.447185,,1486,18238,running,cli,,,,,,,,,,,"check configuration policies",
stop,2023-04-24T23:14:14.447257,0.000072,1486,18238,running,cli,,,,,,,,,,,"check configuration policies",
info,2023-04-24T23:14:14.447355,,1486,18238,running,cli,,,,,,,,,,,"transaction empty",
info,2023-04-24T23:14:14.447714,,1486,18238,running,cli,,,,,,,,,,,"releasing transaction lock",
stop,2023-04-24T23:14:14.447915,0.009017,1486,18238,running,cli,,,validate,,,,,,,,"validate",
stop,2023-04-24T23:14:14.447957,0.009121,1486,18238,running,cli,,,,,,,,,,,"applying transaction","empty"
info,2023-04-24T23:14:14.458537,,1486,18238,running,cli,,,,,,,,ios1,,,"releasing device lock",
stop,2023-04-24T23:14:14.458980,1.053538,1486,18238,running,cli,,,,,,,,ios1,,,"sync-from",
start,2023-04-24T23:14:14.466111,,1486,18259,running,cli,,,,,,,,ios10,,,"sync-from",
start,2023-04-24T23:14:14.466349,,1486,18259,running,cli,,,,,,,,ios10,,,"taking device lock",
stop,2023-04-24T23:14:14.466451,0.000102,1486,18259,running,cli,,,,,,,,ios10,,,"taking device lock",
start,2023-04-24T23:14:14.471677,,1486,18259,running,cli,,,,,,,,ios10,connect,,"connect",
info,2023-04-24T23:14:14.471841,,1486,18259,running,cli,,,,,,,,ios10,connect,,"send NED connect",
start,2023-04-24T23:14:14.815050,,1486,18259,running,cli,,,,,,,,ios10,connect,cisco-ios-cli-6.77,"connecting",
stop,2023-04-24T23:14:14.923365,0.108315,1486,18259,running,cli,,,,,,,,ios10,connect,cisco-ios-cli-6.77,"connecting",
start,2023-04-24T23:14:15.047432,,1693,18272,operational,system,,,,,,,,,,,"applying transaction",
info,2023-04-24T23:14:15.047630,,1693,18272,operational,system,,,,,,,,,,,"transaction empty",
stop,2023-04-24T23:14:15.048110,0.000678,1693,18272,operational,system,,,,,,,,,,,"applying transaction","empty"
info,2023-04-24T23:14:15.048655,,1486,18259,running,cli,,,,,,,,ios10,connect,,"send NED is-alive",
stop,2023-04-24T23:14:15.049021,0.577344,1486,18259,running,cli,,,,,,,,ios10,connect,,"connect",
start,2023-04-24T23:14:15.049292,,1486,18259,running,cli,,,,,,,,ios10,show,,"show",
info,2023-04-24T23:14:15.139759,,1486,18259,running,cli,,,,,,,,ios10,show,,"send NED show",
start,2023-04-24T23:14:15.140838,,1486,18259,running,cli,,,,,,,,ios10,show,cisco-ios-cli-6.77,"reading config",
stop,2023-04-24T23:14:15.240239,0.099401,1486,18259,running,cli,,,,,,,,ios10,show,cisco-ios-cli-6.77,"reading config",
start,2023-04-24T23:14:15.241569,,1486,18259,running,cli,,,,,,,,ios10,show,cisco-ios-cli-6.77,"transforming input",
stop,2023-04-24T23:14:15.247784,0.006215,1486,18259,running,cli,,,,,,,,ios10,show,cisco-ios-cli-6.77,"transforming input",
start,2023-04-24T23:14:15.255589,,1486,18259,running,cli,,,,,,,,ios10,show,cisco-ios-cli-6.77,"extended parsing",
stop,2023-04-24T23:14:15.258561,0.002972,1486,18259,running,cli,,,,,,,,ios10,show,cisco-ios-cli-6.77,"extended parsing",
start,2023-04-24T23:14:15.259079,,1486,18259,running,cli,,,,,,,,ios10,show,cisco-ios-cli-6.77,"populating cdb",
stop,2023-04-24T23:14:15.511896,0.252817,1486,18259,running,cli,,,,,,,,ios10,show,cisco-ios-cli-6.77,"populating cdb",
stop,2023-04-24T23:14:15.512478,0.463186,1486,18259,running,cli,,,,,,,,ios10,show,,"show",
start,2023-04-24T23:14:15.513894,,1486,18259,running,cli,,,,,,,,,,,"applying transaction",
start,2023-04-24T23:14:15.513963,,1486,18259,running,cli,,,validate,,,,,,,,"validate",
start,2023-04-24T23:14:15.514054,,1486,18259,running,cli,,,,,,,,,,,"grabbing transaction lock",
stop,2023-04-24T23:14:15.514155,0.000101,1486,18259,running,cli,,,,,,,,,,,"grabbing transaction lock",
start,2023-04-24T23:14:15.514213,,1486,18259,running,cli,,,,,,,,,,,"check and resolve conflicts",
stop,2023-04-24T23:14:15.514619,0.000406,1486,18259,running,cli,,,,,,,,,,,"check and resolve conflicts",
start,2023-04-24T23:14:15.515479,,1486,18259,running,cli,,,,,,,,,,,"creating rollback file",
stop,2023-04-24T23:14:15.517058,0.001579,1486,18259,running,cli,,,,,,,,,,,"creating rollback file",
start,2023-04-24T23:14:15.517165,,1486,18259,running,cli,,,,,,,,,,,"run transforms and transaction hooks",
stop,2023-04-24T23:14:15.520237,0.003072,1486,18259,running,cli,,,,,,,,,,,"run transforms and transaction hooks",
start,2023-04-24T23:14:15.520292,,1486,18259,running,cli,,,,,,,,,,,"mark inactive",
stop,2023-04-24T23:14:15.520697,0.000405,1486,18259,running,cli,,,,,,,,,,,"mark inactive",
start,2023-04-24T23:14:15.520881,,1486,18259,running,cli,,,,,,,,,,,"pre validate",
stop,2023-04-24T23:14:15.521197,0.000316,1486,18259,running,cli,,,,,,,,,,,"pre validate",
start,2023-04-24T23:14:15.521252,,1486,18259,running,cli,,,,,,,,,,,"run validation over the changeset",
stop,2023-04-24T23:14:15.521484,0.000232,1486,18259,running,cli,,,,,,,,,,,"run validation over the changeset",
start,2023-04-24T23:14:15.521543,,1486,18259,running,cli,,,,,,,,,,,"run dependency-triggered validation",
stop,2023-04-24T23:14:15.522092,0.000549,1486,18259,running,cli,,,,,,,,,,,"run dependency-triggered validation",
start,2023-04-24T23:14:15.522153,,1486,18259,running,cli,,,,,,,,,,,"check configuration policies",
stop,2023-04-24T23:14:15.522265,0.000112,1486,18259,running,cli,,,,,,,,,,,"check configuration policies",
info,2023-04-24T23:14:15.522411,,1486,18259,running,cli,,,,,,,,,,,"transaction empty",
info,2023-04-24T23:14:15.522811,,1486,18259,running,cli,,,,,,,,,,,"releasing transaction lock",
stop,2023-04-24T23:14:15.523035,0.009072,1486,18259,running,cli,,,validate,,,,,,,,"validate",
stop,2023-04-24T23:14:15.523085,0.009191,1486,18259,running,cli,,,,,,,,,,,"applying transaction","empty"
info,2023-04-24T23:14:15.527676,,1486,18259,running,cli,,,,,,,,ios10,,,"releasing device lock",
stop,2023-04-24T23:14:15.528255,1.062144,1486,18259,running,cli,,,,,,,,ios10,,,"sync-from",
start,2023-04-24T23:14:15.533636,,1486,18280,running,cli,,,,,,,,ios11,,,"sync-from",
start,2023-04-24T23:14:15.533850,,1486,18280,running,cli,,,,,,,,ios11,,,"taking device lock",
stop,2023-04-24T23:14:15.533980,0.000130,1486,18280,running,cli,,,,,,,,ios11,,,"taking device lock",
start,2023-04-24T23:14:15.538089,,1486,18280,running,cli,,,,,,,,ios11,connect,,"connect",
info,2023-04-24T23:14:15.538259,,1486,18280,running,cli,,,,,,,,ios11,connect,,"send NED connect",
start,2023-04-24T23:14:15.896695,,1486,18280,running,cli,,,,,,,,ios11,connect,cisco-ios-cli-6.77,"connecting",
stop,2023-04-24T23:14:16.003250,0.106555,1486,18280,running,cli,,,,,,,,ios11,connect,cisco-ios-cli-6.77,"connecting",
start,2023-04-24T23:14:16.124690,,1695,18293,operational,system,,,,,,,,,,,"applying transaction",
info,2023-04-24T23:14:16.124860,,1695,18293,operational,system,,,,,,,,,,,"transaction empty",
stop,2023-04-24T23:14:16.125192,0.000502,1695,18293,operational,system,,,,,,,,,,,"applying transaction","empty"
info,2023-04-24T23:14:16.125634,,1486,18280,running,cli,,,,,,,,ios11,connect,,"send NED is-alive",
stop,2023-04-24T23:14:16.125907,0.587818,1486,18280,running,cli,,,,,,,,ios11,connect,,"connect",
start,2023-04-24T23:14:16.126128,,1486,18280,running,cli,,,,,,,,ios11,show,,"show",
info,2023-04-24T23:14:16.215988,,1486,18280,running,cli,,,,,,,,ios11,show,,"send NED show",
start,2023-04-24T23:14:16.217214,,1486,18280,running,cli,,,,,,,,ios11,show,cisco-ios-cli-6.77,"reading config",
stop,2023-04-24T23:14:16.323239,0.106025,1486,18280,running,cli,,,,,,,,ios11,show,cisco-ios-cli-6.77,"reading config",
start,2023-04-24T23:14:16.325379,,1486,18280,running,cli,,,,,,,,ios11,show,cisco-ios-cli-6.77,"transforming input",
stop,2023-04-24T23:14:16.331771,0.006392,1486,18280,running,cli,,,,,,,,ios11,show,cisco-ios-cli-6.77,"transforming input",
start,2023-04-24T23:14:16.339079,,1486,18280,running,cli,,,,,,,,ios11,show,cisco-ios-cli-6.77,"extended parsing",
stop,2023-04-24T23:14:16.342963,0.003884,1486,18280,running,cli,,,,,,,,ios11,show,cisco-ios-cli-6.77,"extended parsing",
start,2023-04-24T23:14:16.343645,,1486,18280,running,cli,,,,,,,,ios11,show,cisco-ios-cli-6.77,"populating cdb",
stop,2023-04-24T23:14:16.602874,0.259229,1486,18280,running,cli,,,,,,,,ios11,show,cisco-ios-cli-6.77,"populating cdb",
stop,2023-04-24T23:14:16.603582,0.477454,1486,18280,running,cli,,,,,,,,ios11,show,,"show",
start,2023-04-24T23:14:16.605233,,1486,18280,running,cli,,,,,,,,,,,"applying transaction",
start,2023-04-24T23:14:16.605284,,1486,18280,running,cli,,,validate,,,,,,,,"validate",
start,2023-04-24T23:14:16.605346,,1486,18280,running,cli,,,,,,,,,,,"grabbing transaction lock",
stop,2023-04-24T23:14:16.605409,0.000063,1486,18280,running,cli,,,,,,,,,,,"grabbing transaction lock",
start,2023-04-24T23:14:16.605448,,1486,18280,running,cli,,,,,,,,,,,"check and resolve conflicts",
stop,2023-04-24T23:14:16.605823,0.000375,1486,18280,running,cli,,,,,,,,,,,"check and resolve conflicts",
start,2023-04-24T23:14:16.606530,,1486,18280,running,cli,,,,,,,,,,,"creating rollback file",
stop,2023-04-24T23:14:16.608521,0.001991,1486,18280,running,cli,,,,,,,,,,,"creating rollback file",
start,2023-04-24T23:14:16.608625,,1486,18280,running,cli,,,,,,,,,,,"run transforms and transaction hooks",
stop,2023-04-24T23:14:16.611544,0.002919,1486,18280,running,cli,,,,,,,,,,,"run transforms and transaction hooks",
start,2023-04-24T23:14:16.611594,,1486,18280,running,cli,,,,,,,,,,,"mark inactive",
stop,2023-04-24T23:14:16.611996,0.000402,1486,18280,running,cli,,,,,,,,,,,"mark inactive",
start,2023-04-24T23:14:16.612190,,1486,18280,running,cli,,,,,,,,,,,"pre validate",
stop,2023-04-24T23:14:16.612555,0.000365,1486,18280,running,cli,,,,,,,,,,,"pre validate",
start,2023-04-24T23:14:16.612593,,1486,18280,running,cli,,,,,,,,,,,"run validation over the changeset",
stop,2023-04-24T23:14:16.612827,0.000234,1486,18280,running,cli,,,,,,,,,,,"run validation over the changeset",
start,2023-04-24T23:14:16.612891,,1486,18280,running,cli,,,,,,,,,,,"run dependency-triggered validation",
stop,2023-04-24T23:14:16.613303,0.000412,1486,18280,running,cli,,,,,,,,,,,"run dependency-triggered validation",
start,2023-04-24T23:14:16.613356,,1486,18280,running,cli,,,,,,,,,,,"check configuration policies",
stop,2023-04-24T23:14:16.613425,0.000069,1486,18280,running,cli,,,,,,,,,,,"check configuration policies",
info,2023-04-24T23:14:16.613533,,1486,18280,running,cli,,,,,,,,,,,"transaction empty",
info,2023-04-24T23:14:16.613957,,1486,18280,running,cli,,,,,,,,,,,"releasing transaction lock",
stop,2023-04-24T23:14:16.614178,0.008894,1486,18280,running,cli,,,validate,,,,,,,,"validate",
stop,2023-04-24T23:14:16.614221,0.008988,1486,18280,running,cli,,,,,,,,,,,"applying transaction","empty"
info,2023-04-24T23:14:16.619988,,1486,18280,running,cli,,,,,,,,ios11,,,"releasing device lock",
stop,2023-04-24T23:14:16.620525,1.086889,1486,18280,running,cli,,,,,,,,ios11,,,"sync-from",
start,2023-04-24T23:14:16.626320,,1486,18301,running,cli,,,,,,,,ios12,,,"sync-from",
start,2023-04-24T23:14:16.626616,,1486,18301,running,cli,,,,,,,,ios12,,,"taking device lock",
stop,2023-04-24T23:14:16.626732,0.000116,1486,18301,running,cli,,,,,,,,ios12,,,"taking device lock",
start,2023-04-24T23:14:16.632084,,1486,18301,running,cli,,,,,,,,ios12,connect,,"connect",
info,2023-04-24T23:14:16.632253,,1486,18301,running,cli,,,,,,,,ios12,connect,,"send NED connect",
start,2023-04-24T23:14:16.965273,,1486,18301,running,cli,,,,,,,,ios12,connect,cisco-ios-cli-6.77,"connecting",
stop,2023-04-24T23:14:17.066809,0.101536,1486,18301,running,cli,,,,,,,,ios12,connect,cisco-ios-cli-6.77,"connecting",
start,2023-04-24T23:14:17.190022,,1697,18314,operational,system,,,,,,,,,,,"applying transaction",
info,2023-04-24T23:14:17.190172,,1697,18314,operational,system,,,,,,,,,,,"transaction empty",
stop,2023-04-24T23:14:17.190464,0.000442,1697,18314,operational,system,,,,,,,,,,,"applying transaction","empty"
info,2023-04-24T23:14:17.190833,,1486,18301,running,cli,,,,,,,,ios12,connect,,"send NED is-alive",
stop,2023-04-24T23:14:17.191128,0.559044,1486,18301,running,cli,,,,,,,,ios12,connect,,"connect",
start,2023-04-24T23:14:17.191324,,1486,18301,running,cli,,,,,,,,ios12,show,,"show",
info,2023-04-24T23:14:17.278312,,1486,18301,running,cli,,,,,,,,ios12,show,,"send NED show",
start,2023-04-24T23:14:17.279361,,1486,18301,running,cli,,,,,,,,ios12,show,cisco-ios-cli-6.77,"reading config",
stop,2023-04-24T23:14:17.384927,0.105566,1486,18301,running,cli,,,,,,,,ios12,show,cisco-ios-cli-6.77,"reading config",
start,2023-04-24T23:14:17.386710,,1486,18301,running,cli,,,,,,,,ios12,show,cisco-ios-cli-6.77,"transforming input",
stop,2023-04-24T23:14:17.394298,0.007588,1486,18301,running,cli,,,,,,,,ios12,show,cisco-ios-cli-6.77,"transforming input",
start,2023-04-24T23:14:17.404851,,1486,18301,running,cli,,,,,,,,ios12,show,cisco-ios-cli-6.77,"extended parsing",
stop,2023-04-24T23:14:17.408056,0.003205,1486,18301,running,cli,,,,,,,,ios12,show,cisco-ios-cli-6.77,"extended parsing",
start,2023-04-24T23:14:17.408766,,1486,18301,running,cli,,,,,,,,ios12,show,cisco-ios-cli-6.77,"populating cdb",
stop,2023-04-24T23:14:17.663578,0.254812,1486,18301,running,cli,,,,,,,,ios12,show,cisco-ios-cli-6.77,"populating cdb",
stop,2023-04-24T23:14:17.664386,0.473062,1486,18301,running,cli,,,,,,,,ios12,show,,"show",
start,2023-04-24T23:14:17.666024,,1486,18301,running,cli,,,,,,,,,,,"applying transaction",
start,2023-04-24T23:14:17.666117,,1486,18301,running,cli,,,validate,,,,,,,,"validate",
start,2023-04-24T23:14:17.666198,,1486,18301,running,cli,,,,,,,,,,,"grabbing transaction lock",
stop,2023-04-24T23:14:17.666299,0.000101,1486,18301,running,cli,,,,,,,,,,,"grabbing transaction lock",
start,2023-04-24T23:14:17.666393,,1486,18301,running,cli,,,,,,,,,,,"check and resolve conflicts",
stop,2023-04-24T23:14:17.666897,0.000504,1486,18301,running,cli,,,,,,,,,,,"check and resolve conflicts",
start,2023-04-24T23:14:17.667847,,1486,18301,running,cli,,,,,,,,,,,"creating rollback file",
stop,2023-04-24T23:14:17.669610,0.001763,1486,18301,running,cli,,,,,,,,,,,"creating rollback file",
start,2023-04-24T23:14:17.669709,,1486,18301,running,cli,,,,,,,,,,,"run transforms and transaction hooks",
stop,2023-04-24T23:14:17.672492,0.002783,1486,18301,running,cli,,,,,,,,,,,"run transforms and transaction hooks",
start,2023-04-24T23:14:17.672552,,1486,18301,running,cli,,,,,,,,,,,"mark inactive",
stop,2023-04-24T23:14:17.672936,0.000384,1486,18301,running,cli,,,,,,,,,,,"mark inactive",
start,2023-04-24T23:14:17.673110,,1486,18301,running,cli,,,,,,,,,,,"pre validate",
stop,2023-04-24T23:14:17.673425,0.000315,1486,18301,running,cli,,,,,,,,,,,"pre validate",
start,2023-04-24T23:14:17.673484,,1486,18301,running,cli,,,,,,,,,,,"run validation over the changeset",
stop,2023-04-24T23:14:17.673716,0.000232,1486,18301,running,cli,,,,,,,,,,,"run validation over the changeset",
