EVENT TYPE,TIMESTAMP,DURATION,SESSION ID,TRANSACTION ID,DATASTORE,CONTEXT,TRACE ID,SUBSYSTEM,PHASE,SERVICE,SERVICE PHASE,COMMIT QUEUE ID,NODE,DEVICE,DEVICE PHASE,PACKAGE,MESSAGE,ANNOTATION
start,2023-04-24T17:56:42.835415,,257,8676,running,cli,,,,,,,,ios29,,,"sync-from",
start,2023-04-24T17:56:42.835475,,257,8668,running,cli,,,,,,,,ios76,,,"sync-from",
start,2023-04-24T17:56:42.835635,,257,8666,running,cli,,,,,,,,ios33,,,"sync-from",
start,2023-04-24T17:56:42.835744,,257,8697,running,cli,,,,,,,,ios51,,,"sync-from",
start,2023-04-24T17:56:42.835803,,257,8669,running,cli,,,,,,,,ios5,,,"sync-from",
start,2023-04-24T17:56:42.836013,,257,8690,running,cli,,,,,,,,ios42,,,"sync-from",
start,2023-04-24T17:56:42.836023,,257,8676,running,cli,,,,,,,,ios29,,,"taking device lock",
stop,2023-04-24T17:56:42.836208,0.000185,257,8676,running,cli,,,,,,,,ios29,,,"taking device lock",
start,2023-04-24T17:56:42.836251,,257,8675,running,cli,,,,,,,,ios56,,,"sync-from",
start,2023-04-24T17:56:42.836430,,257,8673,running,cli,,,,,,,,ios52,,,"sync-from",
start,2023-04-24T17:56:42.836496,,257,8668,running,cli,,,,,,,,ios76,,,"taking device lock",
start,2023-04-24T17:56:42.836528,,257,8671,running,cli,,,,,,,,ios59,,,"sync-from",
stop,2023-04-24T17:56:42.836616,0.000120,257,8668,running,cli,,,,,,,,ios76,,,"taking device lock",
start,2023-04-24T17:56:42.836848,,257,8666,running,cli,,,,,,,,ios33,,,"taking device lock",
stop,2023-04-24T17:56:42.837004,0.000156,257,8666,running,cli,,,,,,,,ios33,,,"taking device lock",
start,2023-04-24T17:56:42.837016,,257,8680,running,cli,,,,,,,,ios77,,,"sync-from",
start,2023-04-24T17:56:42.837139,,257,8697,running,cli,,,,,,,,ios51,,,"taking device lock",
start,2023-04-24T17:56:42.837227,,257,8690,running,cli,,,,,,,,ios42,,,"taking device lock",
stop,2023-04-24T17:56:42.837255,0.000116,257,8697,running,cli,,,,,,,,ios51,,,"taking device lock",
stop,2023-04-24T17:56:42.837843,0.000616,257,8690,running,cli,,,,,,,,ios42,,,"taking device lock",
start,2023-04-24T17:56:42.838091,,257,8675,running,cli,,,,,,,,ios56,,,"taking device lock",
start,2023-04-24T17:56:42.838094,,257,8669,running,cli,,,,,,,,ios5,,,"taking device lock",
start,2023-04-24T17:56:42.838112,,257,8671,running,cli,,,,,,,,ios59,,,"taking device lock",
start,2023-04-24T17:56:42.838094,,257,8673,running,cli,,,,,,,,ios52,,,"taking device lock",
start,2023-04-24T17:56:42.838113,,257,8680,running,cli,,,,,,,,ios77,,,"taking device lock",
stop,2023-04-24T17:56:42.838222,0.000131,257,8675,running,cli,,,,,,,,ios56,,,"taking device lock",
start,2023-04-24T17:56:42.838349,,257,8667,running,cli,,,,,,,,ios45,,,"sync-from",
start,2023-04-24T17:56:42.838382,,257,8710,running,cli,,,,,,,,ios80,,,"sync-from",
stop,2023-04-24T17:56:42.838527,0.000415,257,8671,running,cli,,,,,,,,ios59,,,"taking device lock",
start,2023-04-24T17:56:42.838773,,257,8674,running,cli,,,,,,,,ios65,,,"sync-from",
stop,2023-04-24T17:56:42.838909,0.000815,257,8669,running,cli,,,,,,,,ios5,,,"taking device lock",
stop,2023-04-24T17:56:42.839126,0.001032,257,8673,running,cli,,,,,,,,ios52,,,"taking device lock",
stop,2023-04-24T17:56:42.839456,0.001343,257,8680,running,cli,,,,,,,,ios77,,,"taking device lock",
start,2023-04-24T17:56:42.839685,,257,8667,running,cli,,,,,,,,ios45,,,"taking device lock",
start,2023-04-24T17:56:42.839691,,257,8710,running,cli,,,,,,,,ios80,,,"taking device lock",
stop,2023-04-24T17:56:42.839807,0.000116,257,8710,running,cli,,,,,,,,ios80,,,"taking device lock",
start,2023-04-24T17:56:42.840031,,257,8695,running,cli,,,,,,,,ios41,,,"sync-from",
start,2023-04-24T17:56:42.839681,,257,8674,running,cli,,,,,,,,ios65,,,"taking device lock",
stop,2023-04-24T17:56:42.840388,0.000707,257,8674,running,cli,,,,,,,,ios65,,,"taking device lock",
start,2023-04-24T17:56:42.840593,,257,8695,running,cli,,,,,,,,ios41,,,"taking device lock",
stop,2023-04-24T17:56:42.840606,0.000921,257,8667,running,cli,,,,,,,,ios45,,,"taking device lock",
start,2023-04-24T17:56:42.840794,,257,8677,running,cli,,,,,,,,ios62,,,"sync-from",
stop,2023-04-24T17:56:42.840823,0.000230,257,8695,running,cli,,,,,,,,ios41,,,"taking device lock",
start,2023-04-24T17:56:42.841148,,257,8677,running,cli,,,,,,,,ios62,,,"taking device lock",
stop,2023-04-24T17:56:42.841235,0.000087,257,8677,running,cli,,,,,,,,ios62,,,"taking device lock",
start,2023-04-24T17:56:42.841619,,257,8721,running,cli,,,,,,,,ios78,,,"sync-from",
start,2023-04-24T17:56:42.841847,,257,8721,running,cli,,,,,,,,ios78,,,"taking device lock",
stop,2023-04-24T17:56:42.841946,0.000099,257,8721,running,cli,,,,,,,,ios78,,,"taking device lock",
start,2023-04-24T17:56:42.843409,,257,8692,running,cli,,,,,,,,ios47,,,"sync-from",
start,2023-04-24T17:56:42.843671,,257,8692,running,cli,,,,,,,,ios47,,,"taking device lock",
stop,2023-04-24T17:56:42.843776,0.000105,257,8692,running,cli,,,,,,,,ios47,,,"taking device lock",
start,2023-04-24T17:56:42.844270,,257,8679,running,cli,,,,,,,,ios68,,,"sync-from",
start,2023-04-24T17:56:42.844529,,257,8679,running,cli,,,,,,,,ios68,,,"taking device lock",
stop,2023-04-24T17:56:42.844641,0.000112,257,8679,running,cli,,,,,,,,ios68,,,"taking device lock",
start,2023-04-24T17:56:42.845165,,257,8713,running,cli,,,,,,,,ios73,,,"sync-from",
start,2023-04-24T17:56:42.845456,,257,8713,running,cli,,,,,,,,ios73,,,"taking device lock",
stop,2023-04-24T17:56:42.845554,0.000098,257,8713,running,cli,,,,,,,,ios73,,,"taking device lock",
start,2023-04-24T17:56:42.846016,,257,8718,running,cli,,,,,,,,ios66,,,"sync-from",
start,2023-04-24T17:56:42.846385,,257,8718,running,cli,,,,,,,,ios66,,,"taking device lock",
stop,2023-04-24T17:56:42.846484,0.000099,257,8718,running,cli,,,,,,,,ios66,,,"taking device lock",
start,2023-04-24T17:56:42.847374,,257,8702,running,cli,,,,,,,,ios67,,,"sync-from",
start,2023-04-24T17:56:42.847789,,257,8702,running,cli,,,,,,,,ios67,,,"taking device lock",
stop,2023-04-24T17:56:42.847903,0.000114,257,8702,running,cli,,,,,,,,ios67,,,"taking device lock",
start,2023-04-24T17:56:42.848803,,257,8698,running,cli,,,,,,,,ios60,,,"sync-from",
start,2023-04-24T17:56:42.849100,,257,8698,running,cli,,,,,,,,ios60,,,"taking device lock",
stop,2023-04-24T17:56:42.849209,0.000109,257,8698,running,cli,,,,,,,,ios60,,,"taking device lock",
start,2023-04-24T17:56:42.851257,,257,8668,running,cli,,,,,,,,ios76,connect,,"connect",
start,2023-04-24T17:56:42.851334,,257,8666,running,cli,,,,,,,,ios33,connect,,"connect",
info,2023-04-24T17:56:42.851415,,257,8668,running,cli,,,,,,,,ios76,connect,,"send NED connect",
info,2023-04-24T17:56:42.851493,,257,8666,running,cli,,,,,,,,ios33,connect,,"send NED connect",
start,2023-04-24T17:56:42.851759,,257,8684,running,cli,,,,,,,,ios3,,,"sync-from",
start,2023-04-24T17:56:42.851900,,257,8697,running,cli,,,,,,,,ios51,connect,,"connect",
start,2023-04-24T17:56:42.851940,,257,8676,running,cli,,,,,,,,ios29,connect,,"connect",
info,2023-04-24T17:56:42.852200,,257,8697,running,cli,,,,,,,,ios51,connect,,"send NED connect",
info,2023-04-24T17:56:42.852353,,257,8676,running,cli,,,,,,,,ios29,connect,,"send NED connect",
start,2023-04-24T17:56:42.852402,,257,8684,running,cli,,,,,,,,ios3,,,"taking device lock",
stop,2023-04-24T17:56:42.852573,0.000171,257,8684,running,cli,,,,,,,,ios3,,,"taking device lock",
start,2023-04-24T17:56:42.854175,,257,8690,running,cli,,,,,,,,ios42,connect,,"connect",
start,2023-04-24T17:56:42.854256,,257,8688,running,cli,,,,,,,,ios40,,,"sync-from",
info,2023-04-24T17:56:42.854572,,257,8690,running,cli,,,,,,,,ios42,connect,,"send NED connect",
start,2023-04-24T17:56:42.854644,,257,8688,running,cli,,,,,,,,ios40,,,"taking device lock",
stop,2023-04-24T17:56:42.854806,0.000162,257,8688,running,cli,,,,,,,,ios40,,,"taking device lock",
start,2023-04-24T17:56:42.854965,,257,8699,running,cli,,,,,,,,ios7,,,"sync-from",
start,2023-04-24T17:56:42.855291,,257,8675,running,cli,,,,,,,,ios56,connect,,"connect",
info,2023-04-24T17:56:42.855452,,257,8675,running,cli,,,,,,,,ios56,connect,,"send NED connect",
start,2023-04-24T17:56:42.856279,,257,8699,running,cli,,,,,,,,ios7,,,"taking device lock",
stop,2023-04-24T17:56:42.856509,0.000230,257,8699,running,cli,,,,,,,,ios7,,,"taking device lock",
start,2023-04-24T17:56:42.856924,,257,8715,running,cli,,,,,,,,ios54,,,"sync-from",
start,2023-04-24T17:56:42.857324,,257,8715,running,cli,,,,,,,,ios54,,,"taking device lock",
stop,2023-04-24T17:56:42.857582,0.000258,257,8715,running,cli,,,,,,,,ios54,,,"taking device lock",
start,2023-04-24T17:56:42.857786,,257,8703,running,cli,,,,,,,,ios74,,,"sync-from",
start,2023-04-24T17:56:42.858058,,257,8703,running,cli,,,,,,,,ios74,,,"taking device lock",
stop,2023-04-24T17:56:42.858261,0.000203,257,8703,running,cli,,,,,,,,ios74,,,"taking device lock",
start,2023-04-24T17:56:42.858548,,257,8689,running,cli,,,,,,,,ios20,,,"sync-from",
start,2023-04-24T17:56:42.859073,,257,8689,running,cli,,,,,,,,ios20,,,"taking device lock",
start,2023-04-24T17:56:42.859248,,257,8678,running,cli,,,,,,,,ios15,,,"sync-from",
stop,2023-04-24T17:56:42.859393,0.000320,257,8689,running,cli,,,,,,,,ios20,,,"taking device lock",
start,2023-04-24T17:56:42.860053,,257,8678,running,cli,,,,,,,,ios15,,,"taking device lock",
stop,2023-04-24T17:56:42.860285,0.000232,257,8678,running,cli,,,,,,,,ios15,,,"taking device lock",
start,2023-04-24T17:56:42.862390,,257,8663,running,cli,,,,,,,,ios10,,,"sync-from",
start,2023-04-24T17:56:42.863166,,257,8663,running,cli,,,,,,,,ios10,,,"taking device lock",
stop,2023-04-24T17:56:42.863324,0.000158,257,8663,running,cli,,,,,,,,ios10,,,"taking device lock",
start,2023-04-24T17:56:42.864003,,257,8669,running,cli,,,,,,,,ios5,connect,,"connect",
info,2023-04-24T17:56:42.864421,,257,8669,running,cli,,,,,,,,ios5,connect,,"send NED connect",
start,2023-04-24T17:56:42.864551,,257,8671,running,cli,,,,,,,,ios59,connect,,"connect",
start,2023-04-24T17:56:42.864543,,257,8717,running,cli,,,,,,,,ios72,,,"sync-from",
info,2023-04-24T17:56:42.864880,,257,8671,running,cli,,,,,,,,ios59,connect,,"send NED connect",
start,2023-04-24T17:56:42.864990,,257,8680,running,cli,,,,,,,,ios77,connect,,"connect",
start,2023-04-24T17:56:42.865225,,257,8717,running,cli,,,,,,,,ios72,,,"taking device lock",
stop,2023-04-24T17:56:42.865702,0.000477,257,8717,running,cli,,,,,,,,ios72,,,"taking device lock",
info,2023-04-24T17:56:42.865817,,257,8680,running,cli,,,,,,,,ios77,connect,,"send NED connect",
start,2023-04-24T17:56:42.866391,,257,8673,running,cli,,,,,,,,ios52,connect,,"connect",
info,2023-04-24T17:56:42.866910,,257,8673,running,cli,,,,,,,,ios52,connect,,"send NED connect",
start,2023-04-24T17:56:42.867647,,257,8667,running,cli,,,,,,,,ios45,connect,,"connect",
info,2023-04-24T17:56:42.867966,,257,8667,running,cli,,,,,,,,ios45,connect,,"send NED connect",
start,2023-04-24T17:56:42.868578,,257,8716,running,cli,,,,,,,,ios61,,,"sync-from",
start,2023-04-24T17:56:42.869116,,257,8716,running,cli,,,,,,,,ios61,,,"taking device lock",
stop,2023-04-24T17:56:42.869367,0.000251,257,8716,running,cli,,,,,,,,ios61,,,"taking device lock",
start,2023-04-24T17:56:42.869879,,257,8677,running,cli,,,,,,,,ios62,connect,,"connect",
start,2023-04-24T17:56:42.870243,,257,8726,running,cli,,,,,,,,ios43,,,"sync-from",
start,2023-04-24T17:56:42.870745,,257,8726,running,cli,,,,,,,,ios43,,,"taking device lock",
