EVENT TYPE,TIMESTAMP,DURATION,SESSION ID,TRANSACTION ID,DATASTORE,CONTEXT,TRACE ID,SUBSYSTEM,PHASE,SERVICE,SERVICE PHASE,COMMIT QUEUE ID,NODE,DEVICE,DEVICE PHASE,PACKAGE,MESSAGE,ANNOTATION
start,2023-04-24T18:12:26.355336,,257,10333,running,cli,,,,,,,,ios49,,,"sync-from",
start,2023-04-24T18:12:26.355413,,257,10341,running,cli,,,,,,,,ios2,,,"sync-from",
start,2023-04-24T18:12:26.355560,,257,10336,running,cli,,,,,,,,ios15,,,"sync-from",
start,2023-04-24T18:12:26.355672,,257,10338,running,cli,,,,,,,,ios61,,,"sync-from",
start,2023-04-24T18:12:26.355808,,257,10331,running,cli,,,,,,,,ios10,,,"sync-from",
start,2023-04-24T18:12:26.355964,,257,10339,running,cli,,,,,,,,ios1,,,"sync-from",
start,2023-04-24T18:12:26.356093,,257,10340,running,cli,,,,,,,,ios54,,,"sync-from",
start,2023-04-24T18:12:26.356249,,257,10342,running,cli,,,,,,,,ios70,,,"sync-from",
start,2023-04-24T18:12:26.356285,,257,10347,running,cli,,,,,,,,ios23,,,"sync-from",
start,2023-04-24T18:12:26.356349,,257,10333,running,cli,,,,,,,,ios49,,,"taking device lock",
start,2023-04-24T18:12:26.356375,,257,10354,running,cli,,,,,,,,ios4,,,"sync-from",
start,2023-04-24T18:12:26.356422,,257,10323,running,cli,,,,,,,,ios29,,,"sync-from",
stop,2023-04-24T18:12:26.356490,0.000141,257,10333,running,cli,,,,,,,,ios49,,,"taking device lock",
start,2023-04-24T18:12:26.356537,,257,10341,running,cli,,,,,,,,ios2,,,"taking device lock",
start,2023-04-24T18:12:26.356736,,257,10336,running,cli,,,,,,,,ios15,,,"taking device lock",
start,2023-04-24T18:12:26.356733,,257,10344,running,cli,,,,,,,,ios64,,,"sync-from",
stop,2023-04-24T18:12:26.356787,0.000250,257,10341,running,cli,,,,,,,,ios2,,,"taking device lock",
start,2023-04-24T18:12:26.357020,,257,10338,running,cli,,,,,,,,ios61,,,"taking device lock",
stop,2023-04-24T18:12:26.357030,0.000294,257,10336,running,cli,,,,,,,,ios15,,,"taking device lock",
start,2023-04-24T18:12:26.357240,,257,10331,running,cli,,,,,,,,ios10,,,"taking device lock",
stop,2023-04-24T18:12:26.357261,0.000241,257,10338,running,cli,,,,,,,,ios61,,,"taking device lock",
start,2023-04-24T18:12:26.357278,,257,10339,running,cli,,,,,,,,ios1,,,"taking device lock",
start,2023-04-24T18:12:26.357389,,257,10351,running,cli,,,,,,,,ios33,,,"sync-from",
start,2023-04-24T18:12:26.357586,,257,10354,running,cli,,,,,,,,ios4,,,"taking device lock",
start,2023-04-24T18:12:26.357594,,257,10340,running,cli,,,,,,,,ios54,,,"taking device lock",
start,2023-04-24T18:12:26.357591,,257,10342,running,cli,,,,,,,,ios70,,,"taking device lock",
start,2023-04-24T18:12:26.357617,,257,10347,running,cli,,,,,,,,ios23,,,"taking device lock",
stop,2023-04-24T18:12:26.357817,0.000539,257,10339,running,cli,,,,,,,,ios1,,,"taking device lock",
start,2023-04-24T18:12:26.358002,,257,10323,running,cli,,,,,,,,ios29,,,"taking device lock",
stop,2023-04-24T18:12:26.358011,0.000417,257,10340,running,cli,,,,,,,,ios54,,,"taking device lock",
start,2023-04-24T18:12:26.358022,,257,10344,running,cli,,,,,,,,ios64,,,"taking device lock",
stop,2023-04-24T18:12:26.357596,0.000356,257,10331,running,cli,,,,,,,,ios10,,,"taking device lock",
start,2023-04-24T18:12:26.358221,,257,10374,running,cli,,,,,,,,ios76,,,"sync-from",
start,2023-04-24T18:12:26.358296,,257,10359,running,cli,,,,,,,,ios53,,,"sync-from",
stop,2023-04-24T18:12:26.358833,0.001242,257,10342,running,cli,,,,,,,,ios70,,,"taking device lock",
stop,2023-04-24T18:12:26.359054,0.001437,257,10347,running,cli,,,,,,,,ios23,,,"taking device lock",
stop,2023-04-24T18:12:26.359239,0.001653,257,10354,running,cli,,,,,,,,ios4,,,"taking device lock",
start,2023-04-24T18:12:26.359261,,257,10357,running,cli,,,,,,,,ios43,,,"sync-from",
start,2023-04-24T18:12:26.359409,,257,10351,running,cli,,,,,,,,ios33,,,"taking device lock",
stop,2023-04-24T18:12:26.359421,0.001419,257,10323,running,cli,,,,,,,,ios29,,,"taking device lock",
stop,2023-04-24T18:12:26.359666,0.001644,257,10344,running,cli,,,,,,,,ios64,,,"taking device lock",
start,2023-04-24T18:12:26.359805,,257,10359,running,cli,,,,,,,,ios53,,,"taking device lock",
start,2023-04-24T18:12:26.359822,,257,10374,running,cli,,,,,,,,ios76,,,"taking device lock",
stop,2023-04-24T18:12:26.359821,0.000412,257,10351,running,cli,,,,,,,,ios33,,,"taking device lock",
start,2023-04-24T18:12:26.360011,,257,10357,running,cli,,,,,,,,ios43,,,"taking device lock",
stop,2023-04-24T18:12:26.360023,0.000218,257,10359,running,cli,,,,,,,,ios53,,,"taking device lock",
start,2023-04-24T18:12:26.360037,,257,10334,running,cli,,,,,,,,ios51,,,"sync-from",
stop,2023-04-24T18:12:26.360227,0.000405,257,10374,running,cli,,,,,,,,ios76,,,"taking device lock",
stop,2023-04-24T18:12:26.360391,0.000380,257,10357,running,cli,,,,,,,,ios43,,,"taking device lock",
start,2023-04-24T18:12:26.360630,,257,10334,running,cli,,,,,,,,ios51,,,"taking device lock",
stop,2023-04-24T18:12:26.360731,0.000101,257,10334,running,cli,,,,,,,,ios51,,,"taking device lock",
start,2023-04-24T18:12:26.361831,,257,10350,running,cli,,,,,,,,ios30,,,"sync-from",
start,2023-04-24T18:12:26.362065,,257,10350,running,cli,,,,,,,,ios30,,,"taking device lock",
stop,2023-04-24T18:12:26.362161,0.000096,257,10350,running,cli,,,,,,,,ios30,,,"taking device lock",
start,2023-04-24T18:12:26.363263,,257,10349,running,cli,,,,,,,,ios8,,,"sync-from",
start,2023-04-24T18:12:26.363475,,257,10349,running,cli,,,,,,,,ios8,,,"taking device lock",
stop,2023-04-24T18:12:26.363581,0.000106,257,10349,running,cli,,,,,,,,ios8,,,"taking device lock",
start,2023-04-24T18:12:26.364525,,257,10345,running,cli,,,,,,,,ios74,,,"sync-from",
start,2023-04-24T18:12:26.364822,,257,10345,running,cli,,,,,,,,ios74,,,"taking device lock",
stop,2023-04-24T18:12:26.364926,0.000104,257,10345,running,cli,,,,,,,,ios74,,,"taking device lock",
start,2023-04-24T18:12:26.365822,,257,10368,running,cli,,,,,,,,ios7,,,"sync-from",
start,2023-04-24T18:12:26.366044,,257,10368,running,cli,,,,,,,,ios7,,,"taking device lock",
stop,2023-04-24T18:12:26.366139,0.000095,257,10368,running,cli,,,,,,,,ios7,,,"taking device lock",
start,2023-04-24T18:12:26.366760,,257,10362,running,cli,,,,,,,,ios13,,,"sync-from",
start,2023-04-24T18:12:26.367027,,257,10362,running,cli,,,,,,,,ios13,,,"taking device lock",
stop,2023-04-24T18:12:26.367140,0.000113,257,10362,running,cli,,,,,,,,ios13,,,"taking device lock",
start,2023-04-24T18:12:26.368760,,257,10346,running,cli,,,,,,,,ios26,,,"sync-from",
start,2023-04-24T18:12:26.369010,,257,10346,running,cli,,,,,,,,ios26,,,"taking device lock",
stop,2023-04-24T18:12:26.369142,0.000132,257,10346,running,cli,,,,,,,,ios26,,,"taking device lock",
start,2023-04-24T18:12:26.369480,,257,10361,running,cli,,,,,,,,ios59,,,"sync-from",
start,2023-04-24T18:12:26.369818,,257,10361,running,cli,,,,,,,,ios59,,,"taking device lock",
stop,2023-04-24T18:12:26.369950,0.000132,257,10361,running,cli,,,,,,,,ios59,,,"taking device lock",
start,2023-04-24T18:12:26.371600,,257,10369,running,cli,,,,,,,,ios18,,,"sync-from",
start,2023-04-24T18:12:26.371986,,257,10369,running,cli,,,,,,,,ios18,,,"taking device lock",
stop,2023-04-24T18:12:26.372140,0.000154,257,10369,running,cli,,,,,,,,ios18,,,"taking device lock",
start,2023-04-24T18:12:26.372333,,257,10376,running,cli,,,,,,,,ios24,,,"sync-from",
start,2023-04-24T18:12:26.372836,,257,10376,running,cli,,,,,,,,ios24,,,"taking device lock",
stop,2023-04-24T18:12:26.373495,0.000659,257,10376,running,cli,,,,,,,,ios24,,,"taking device lock",
start,2023-04-24T18:12:26.374289,,257,10381,running,cli,,,,,,,,ios32,,,"sync-from",
start,2023-04-24T18:12:26.374894,,257,10381,running,cli,,,,,,,,ios32,,,"taking device lock",
stop,2023-04-24T18:12:26.375193,0.000299,257,10381,running,cli,,,,,,,,ios32,,,"taking device lock",
start,2023-04-24T18:12:26.376388,,257,10388,running,cli,,,,,,,,ios63,,,"sync-from",
start,2023-04-24T18:12:26.376449,,257,10341,running,cli,,,,,,,,ios2,connect,,"connect",
info,2023-04-24T18:12:26.376781,,257,10341,running,cli,,,,,,,,ios2,connect,,"send NED connect",
start,2023-04-24T18:12:26.377219,,257,10348,running,cli,,,,,,,,ios78,,,"sync-from",
start,2023-04-24T18:12:26.377580,,257,10348,running,cli,,,,,,,,ios78,,,"taking device lock",
start,2023-04-24T18:12:26.377577,,257,10388,running,cli,,,,,,,,ios63,,,"taking device lock",
stop,2023-04-24T18:12:26.377769,0.000189,257,10348,running,cli,,,,,,,,ios78,,,"taking device lock",
stop,2023-04-24T18:12:26.378545,0.000968,257,10388,running,cli,,,,,,,,ios63,,,"taking device lock",
start,2023-04-24T18:12:26.378956,,257,10363,running,cli,,,,,,,,ios11,,,"sync-from",
start,2023-04-24T18:12:26.379982,,257,10336,running,cli,,,,,,,,ios15,connect,,"connect",
start,2023-04-24T18:12:26.380353,,257,10363,running,cli,,,,,,,,ios11,,,"taking device lock",
start,2023-04-24T18:12:26.380399,,257,10333,running,cli,,,,,,,,ios49,connect,,"connect",
info,2023-04-24T18:12:26.380476,,257,10336,running,cli,,,,,,,,ios15,connect,,"send NED connect",
stop,2023-04-24T18:12:26.380665,0.000312,257,10363,running,cli,,,,,,,,ios11,,,"taking device lock",
info,2023-04-24T18:12:26.380901,,257,10333,running,cli,,,,,,,,ios49,connect,,"send NED connect",
start,2023-04-24T18:12:26.382153,,257,10339,running,cli,,,,,,,,ios1,connect,,"connect",
info,2023-04-24T18:12:26.382439,,257,10339,running,cli,,,,,,,,ios1,connect,,"send NED connect",
start,2023-04-24T18:12:26.382476,,257,10353,running,cli,,,,,,,,ios35,,,"sync-from",
start,2023-04-24T18:12:26.383132,,257,10353,running,cli,,,,,,,,ios35,,,"taking device lock",
start,2023-04-24T18:12:26.383239,,257,10331,running,cli,,,,,,,,ios10,connect,,"connect",
start,2023-04-24T18:12:26.383493,,257,10340,running,cli,,,,,,,,ios54,connect,,"connect",
