EVENT TYPE,TIMESTAMP,DURATION,SESSION ID,TRANSACTION ID,DATASTORE,CONTEXT,TRACE ID,SUBSYSTEM,PHASE,SERVICE,SERVICE PHASE,COMMIT QUEUE ID,NODE,DEVICE,DEVICE PHASE,PACKAGE,MESSAGE,ANNOTATION
start,2023-05-03T22:07:51.345720,,42,46634,operational,system,,,,,,,,,,,"applying transaction",
start,2023-05-03T22:07:51.345817,,42,46634,operational,system,,,write-start,,,,,,,,"write-start",
info,2023-05-03T22:07:51.345887,,42,46634,operational,system,,cdb,write-start,,,,,,,,"write-start",
start,2023-05-03T22:07:51.351614,,42,46634,operational,system,,,,,,,,,,,"check data kickers",
stop,2023-05-03T22:07:51.351717,0.000103,42,46634,operational,system,,,,,,,,,,,"check data kickers",
stop,2023-05-03T22:07:51.352065,0.006248,42,46634,operational,system,,,write-start,,,,,,,,"write-start",
start,2023-05-03T22:07:51.352163,,42,46634,operational,system,,,prepare,,,,,,,,"prepare",
info,2023-05-03T22:07:51.352291,,42,46634,operational,system,,cdb,prepare,,,,,,,,"prepare",
stop,2023-05-03T22:07:51.352417,0.000254,42,46634,operational,system,,,prepare,,,,,,,,"prepare",
start,2023-05-03T22:07:51.352476,,42,46634,operational,system,,,commit,,,,,,,,"commit",
info,2023-05-03T22:07:51.352524,,42,46634,operational,system,,cdb,commit,,,,,,,,"commit",
stop,2023-05-03T22:07:51.352962,0.000486,42,46634,operational,system,,,commit,,,,,,,,"commit",
stop,2023-05-03T22:07:51.353039,0.007319,42,46634,operational,system,,,,,,,,,,,"applying transaction",
start,2023-05-03T22:08:05.429912,,41,46643,running,cli,,,,,,,,ios0,,,"sync-from",
start,2023-05-03T22:08:05.430106,,41,46643,running,cli,,,,,,,,ios0,,,"taking device lock",
stop,2023-05-03T22:08:05.430243,0.000137,41,46643,running,cli,,,,,,,,ios0,,,"taking device lock",
start,2023-05-03T22:08:05.447676,,41,46643,running,cli,,,,,,,,ios0,connect,,"connect",
info,2023-05-03T22:08:05.451729,,41,46643,running,cli,,,,,,,,ios0,connect,,"send NED connect",
start,2023-05-03T22:08:05.842219,,41,46643,running,cli,,,,,,,,ios0,connect,cisco-ios-cli-6.92,"connecting",
stop,2023-05-03T22:08:06.625837,0.783618,41,46643,running,cli,,,,,,,,ios0,connect,cisco-ios-cli-6.92,"connecting",
start,2023-05-03T22:08:06.759621,,44,46655,operational,system,,,,,,,,,,,"applying transaction",
info,2023-05-03T22:08:06.759717,,44,46655,operational,system,,,,,,,,,,,"transaction empty",
stop,2023-05-03T22:08:06.759999,0.000378,44,46655,operational,system,,,,,,,,,,,"applying transaction","empty"
start,2023-05-03T22:08:06.770885,,41,46656,operational,cli,,,,,,,,,,,"applying transaction",
start,2023-05-03T22:08:06.771022,,41,46656,operational,cli,,,write-start,,,,,,,,"write-start",
info,2023-05-03T22:08:06.771096,,41,46656,operational,cli,,cdb,write-start,,,,,,,,"write-start",
stop,2023-05-03T22:08:06.771785,0.000763,41,46656,operational,cli,,,write-start,,,,,,,,"write-start",
start,2023-05-03T22:08:06.771834,,41,46656,operational,cli,,,prepare,,,,,,,,"prepare",
info,2023-05-03T22:08:06.771885,,41,46656,operational,cli,,cdb,prepare,,,,,,,,"prepare",
stop,2023-05-03T22:08:06.771946,0.000112,41,46656,operational,cli,,,prepare,,,,,,,,"prepare",
start,2023-05-03T22:08:06.771984,,41,46656,operational,cli,,,commit,,,,,,,,"commit",
info,2023-05-03T22:08:06.772016,,41,46656,operational,cli,,cdb,commit,,,,,,,,"commit",
stop,2023-05-03T22:08:06.772259,0.000275,41,46656,operational,cli,,,commit,,,,,,,,"commit",
stop,2023-05-03T22:08:06.772358,0.001473,41,46656,operational,cli,,,,,,,,,,,"applying transaction",
info,2023-05-03T22:08:06.772561,,41,46643,running,cli,,,,,,,,ios0,connect,,"send NED is-alive",
stop,2023-05-03T22:08:06.773060,1.325384,41,46643,running,cli,,,,,,,,ios0,connect,,"connect",
start,2023-05-03T22:08:06.773275,,41,46643,running,cli,,,,,,,,ios0,show,,"show",
info,2023-05-03T22:08:06.867960,,41,46643,running,cli,,,,,,,,ios0,show,,"send NED show",
start,2023-05-03T22:08:06.870211,,41,46643,running,cli,,,,,,,,ios0,show,cisco-ios-cli-6.92,"reading config",
stop,2023-05-03T22:08:07.002651,0.132440,41,46643,running,cli,,,,,,,,ios0,show,cisco-ios-cli-6.92,"reading config",
start,2023-05-03T22:08:07.003540,,41,46643,running,cli,,,,,,,,ios0,show,cisco-ios-cli-6.92,"transforming input",
stop,2023-05-03T22:08:07.013070,0.009530,41,46643,running,cli,,,,,,,,ios0,show,cisco-ios-cli-6.92,"transforming input",
start,2023-05-03T22:08:07.037756,,41,46643,running,cli,,,,,,,,ios0,show,cisco-ios-cli-6.92,"extended parsing",
