EVENT TYPE,TIMESTAMP,DURATION,SESSION ID,TRANSACTION ID,DATASTORE,CONTEXT,TRACE ID,SUBSYSTEM,PHASE,SERVICE,SERVICE PHASE,COMMIT QUEUE ID,NODE,DEVICE,DEVICE PHASE,PACKAGE,MESSAGE,ANNOTATION
start,2023-05-02T19:45:37.786000,,40,44211,running,cli,,,,,,,,ios12,,,"sync-from",
start,2023-05-02T19:45:37.786097,,40,44199,running,cli,,,,,,,,ios0,,,"sync-from",
start,2023-05-02T19:45:37.786137,,40,44219,running,cli,,,,,,,,ios16,,,"sync-from",
start,2023-05-02T19:45:37.786244,,40,44203,running,cli,,,,,,,,ios10,,,"sync-from",
start,2023-05-02T19:45:37.786319,,40,44204,running,cli,,,,,,,,ios25,,,"sync-from",
start,2023-05-02T19:45:37.786408,,40,44211,running,cli,,,,,,,,ios12,,,"taking device lock",
start,2023-05-02T19:45:37.786462,,40,44223,running,cli,,,,,,,,ios17,,,"sync-from",
stop,2023-05-02T19:45:37.786579,0.000171,40,44211,running,cli,,,,,,,,ios12,,,"taking device lock",
start,2023-05-02T19:45:37.786887,,40,44199,running,cli,,,,,,,,ios0,,,"taking device lock",
start,2023-05-02T19:45:37.786896,,40,44203,running,cli,,,,,,,,ios10,,,"taking device lock",
start,2023-05-02T19:45:37.786887,,40,44219,running,cli,,,,,,,,ios16,,,"taking device lock",
start,2023-05-02T19:45:37.786937,,40,44204,running,cli,,,,,,,,ios25,,,"taking device lock",
start,2023-05-02T19:45:37.786985,,40,44223,running,cli,,,,,,,,ios17,,,"taking device lock",
stop,2023-05-02T19:45:37.787060,0.000164,40,44203,running,cli,,,,,,,,ios10,,,"taking device lock",
start,2023-05-02T19:45:37.787367,,40,44232,running,cli,,,,,,,,ios20,,,"sync-from",
stop,2023-05-02T19:45:37.787482,0.000595,40,44219,running,cli,,,,,,,,ios16,,,"taking device lock",
stop,2023-05-02T19:45:37.787765,0.000828,40,44204,running,cli,,,,,,,,ios25,,,"taking device lock",
start,2023-05-02T19:45:37.787955,,40,44202,running,cli,,,,,,,,ios1,,,"sync-from",
start,2023-05-02T19:45:37.788227,,40,44205,running,cli,,,,,,,,ios11,,,"sync-from",
stop,2023-05-02T19:45:37.788385,0.001498,40,44199,running,cli,,,,,,,,ios0,,,"taking device lock",
stop,2023-05-02T19:45:37.788446,0.001461,40,44223,running,cli,,,,,,,,ios17,,,"taking device lock",
start,2023-05-02T19:45:37.788632,,40,44202,running,cli,,,,,,,,ios1,,,"taking device lock",
start,2023-05-02T19:45:37.788631,,40,44232,running,cli,,,,,,,,ios20,,,"taking device lock",
start,2023-05-02T19:45:37.788708,,40,44205,running,cli,,,,,,,,ios11,,,"taking device lock",
stop,2023-05-02T19:45:37.788719,0.000087,40,44202,running,cli,,,,,,,,ios1,,,"taking device lock",
stop,2023-05-02T19:45:37.788940,0.000309,40,44232,running,cli,,,,,,,,ios20,,,"taking device lock",
start,2023-05-02T19:45:37.789108,,40,44234,running,cli,,,,,,,,ios26,,,"sync-from",
stop,2023-05-02T19:45:37.789211,0.000503,40,44205,running,cli,,,,,,,,ios11,,,"taking device lock",
start,2023-05-02T19:45:37.789450,,40,44234,running,cli,,,,,,,,ios26,,,"taking device lock",
stop,2023-05-02T19:45:37.789555,0.000105,40,44234,running,cli,,,,,,,,ios26,,,"taking device lock",
start,2023-05-02T19:45:37.789914,,40,44227,running,cli,,,,,,,,ios37,,,"sync-from",
start,2023-05-02T19:45:37.790170,,40,44227,running,cli,,,,,,,,ios37,,,"taking device lock",
stop,2023-05-02T19:45:37.790264,0.000094,40,44227,running,cli,,,,,,,,ios37,,,"taking device lock",
start,2023-05-02T19:45:37.790373,,40,44226,running,cli,,,,,,,,ios18,,,"sync-from",
start,2023-05-02T19:45:37.790632,,40,44226,running,cli,,,,,,,,ios18,,,"taking device lock",
stop,2023-05-02T19:45:37.790817,0.000185,40,44226,running,cli,,,,,,,,ios18,,,"taking device lock",
start,2023-05-02T19:45:37.791619,,40,44229,running,cli,,,,,,,,ios2,,,"sync-from",
start,2023-05-02T19:45:37.791777,,40,44229,running,cli,,,,,,,,ios2,,,"taking device lock",
stop,2023-05-02T19:45:37.791858,0.000081,40,44229,running,cli,,,,,,,,ios2,,,"taking device lock",
start,2023-05-02T19:45:37.792207,,40,44240,running,cli,,,,,,,,ios5,,,"sync-from",
start,2023-05-02T19:45:37.792509,,40,44240,running,cli,,,,,,,,ios5,,,"taking device lock",
stop,2023-05-02T19:45:37.792615,0.000106,40,44240,running,cli,,,,,,,,ios5,,,"taking device lock",
start,2023-05-02T19:45:37.793104,,40,44218,running,cli,,,,,,,,ios67,,,"sync-from",
start,2023-05-02T19:45:37.793251,,40,44218,running,cli,,,,,,,,ios67,,,"taking device lock",
stop,2023-05-02T19:45:37.793351,0.000100,40,44218,running,cli,,,,,,,,ios67,,,"taking device lock",
start,2023-05-02T19:45:37.793625,,40,44236,running,cli,,,,,,,,ios32,,,"sync-from",
start,2023-05-02T19:45:37.793854,,40,44236,running,cli,,,,,,,,ios32,,,"taking device lock",
stop,2023-05-02T19:45:37.793954,0.000100,40,44236,running,cli,,,,,,,,ios32,,,"taking device lock",
start,2023-05-02T19:45:37.795395,,40,44213,running,cli,,,,,,,,ios27,,,"sync-from",
start,2023-05-02T19:45:37.795693,,40,44213,running,cli,,,,,,,,ios27,,,"taking device lock",
stop,2023-05-02T19:45:37.795802,0.000109,40,44213,running,cli,,,,,,,,ios27,,,"taking device lock",
start,2023-05-02T19:45:37.796469,,40,44198,running,cli,,,,,,,,ios15,,,"sync-from",
start,2023-05-02T19:45:37.796698,,40,44198,running,cli,,,,,,,,ios15,,,"taking device lock",
stop,2023-05-02T19:45:37.796817,0.000119,40,44198,running,cli,,,,,,,,ios15,,,"taking device lock",
start,2023-05-02T19:45:37.797664,,40,44230,running,cli,,,,,,,,ios50,,,"sync-from",
