EVENT TYPE,TIMESTAMP,DURATION,TRACE ID,SPAN ID,PARENT SPAN ID,SESSION ID,TRANSACTION ID,DATASTORE,CONTEXT,SUBSYSTEM,MESSAGE,ANNOTATION,ATTRIBUTE NAME,ATTRIBUTE VALUE,LINK TRACE ID,LINK SPAN ID
start,2025-11-03T08:37:04.286970,,434eca20a5975d43388455dd782b9511,ac944baf3af2fa09,,80,6331,running,cli,,dry run transaction,,,,,
start,2025-11-03T08:37:04.287038,,434eca20a5975d43388455dd782b9511,777ef0e274a4ffe6,ac944baf3af2fa09,80,6331,running,cli,,validate,,transaction_phase,validate,,
start,2025-11-03T08:37:04.287578,,434eca20a5975d43388455dd782b9511,7a02c12c44f3c21d,777ef0e274a4ffe6,80,6331,running,cli,,creating out-of-band checkpoint,,,,,
stop,2025-11-03T08:37:04.287640,0.000062,434eca20a5975d43388455dd782b9511,7a02c12c44f3c21d,777ef0e274a4ffe6,80,6331,running,cli,,creating out-of-band checkpoint,,,,,
start,2025-11-03T08:37:04.287801,,434eca20a5975d43388455dd782b9511,960e44800aa055e9,777ef0e274a4ffe6,80,6331,running,cli,,run pre-transform validation,,,,,
start,2025-11-03T08:37:04.288041,,434eca20a5975d43388455dd782b9511,49d266fd19cdfb15,960e44800aa055e9,80,6331,running,cli,,run pre-transform dependency-triggered validation,,,,,
stop,2025-11-03T08:37:04.288301,0.000260,434eca20a5975d43388455dd782b9511,49d266fd19cdfb15,960e44800aa055e9,80,6331,running,cli,,run pre-transform dependency-triggered validation,,,,,
stop,2025-11-03T08:37:04.288468,0.000667,434eca20a5975d43388455dd782b9511,960e44800aa055e9,777ef0e274a4ffe6,80,6331,running,cli,,run pre-transform validation,,,,,
start,2025-11-03T08:37:04.288506,,434eca20a5975d43388455dd782b9511,49d266fd19cdfb15,777ef0e274a4ffe6,80,6331,running,cli,,run transforms and transaction hooks,,,,,
start,2025-11-03T08:37:04.289205,,434eca20a5975d43388455dd782b9511,b96748dbcc78d352,49d266fd19cdfb15,80,6331,running,cli,service-manager,creating service,,service,/service-a/service[name='A'],,
,,,,,,,,,,,,,service_operation,create,,
stop,2025-11-03T08:37:04.296158,0.006953,434eca20a5975d43388455dd782b9511,b96748dbcc78d352,49d266fd19cdfb15,80,6331,running,cli,service-manager,creating service,,service,/service-a/service[name='A'],,
,,,,,,,,,,,,,service_operation,create,,
start,2025-11-03T08:37:04.296329,,434eca20a5975d43388455dd782b9511,22b1db9b5d669c20,49d266fd19cdfb15,80,6331,running,cli,service-manager,creating service,,service,/service-b/service[name='B'],,
,,,,,,,,,,,,,service_operation,create,,
stop,2025-11-03T08:37:04.301421,0.005092,434eca20a5975d43388455dd782b9511,22b1db9b5d669c20,49d266fd19cdfb15,80,6331,running,cli,service-manager,creating service,,service,/service-b/service[name='B'],,
,,,,,,,,,,,,,service_operation,create,,
start,2025-11-03T08:37:04.301585,,434eca20a5975d43388455dd782b9511,d4bb74ad0eac0b8d,49d266fd19cdfb15,80,6331,running,cli,service-manager,creating service,,service,/service-c/service[name='C'],,
,,,,,,,,,,,,,service_operation,create,,
stop,2025-11-03T08:37:04.307153,0.005568,434eca20a5975d43388455dd782b9511,d4bb74ad0eac0b8d,49d266fd19cdfb15,80,6331,running,cli,service-manager,creating service,,service,/service-c/service[name='C'],,
,,,,,,,,,,,,,service_operation,create,,
stop,2025-11-03T08:37:04.307865,0.019359,434eca20a5975d43388455dd782b9511,49d266fd19cdfb15,777ef0e274a4ffe6,80,6331,running,cli,,run transforms and transaction hooks,,,,,
start,2025-11-03T08:37:04.307952,,434eca20a5975d43388455dd782b9511,26a633e2756e2836,777ef0e274a4ffe6,80,6331,running,cli,,mark inactive,,,,,
stop,2025-11-03T08:37:04.308210,0.000258,434eca20a5975d43388455dd782b9511,26a633e2756e2836,777ef0e274a4ffe6,80,6331,running,cli,,mark inactive,,,,,
start,2025-11-03T08:37:04.308289,,434eca20a5975d43388455dd782b9511,d9b1739e9e6a1a9d,777ef0e274a4ffe6,80,6331,running,cli,,pre validate,,,,,
stop,2025-11-03T08:37:04.308678,0.000389,434eca20a5975d43388455dd782b9511,d9b1739e9e6a1a9d,777ef0e274a4ffe6,80,6331,running,cli,,pre validate,,,,,
start,2025-11-03T08:37:04.308781,,434eca20a5975d43388455dd782b9511,58b9d5c007bf974b,777ef0e274a4ffe6,80,6331,running,cli,,run validation over the changeset,,,,,
stop,2025-11-03T08:37:04.309367,0.000586,434eca20a5975d43388455dd782b9511,58b9d5c007bf974b,777ef0e274a4ffe6,80,6331,running,cli,,run validation over the changeset,,,,,
start,2025-11-03T08:37:04.309414,,434eca20a5975d43388455dd782b9511,58b9d5c007bf974b,777ef0e274a4ffe6,80,6331,running,cli,,run dependency-triggered validation,,,,,
stop,2025-11-03T08:37:04.309639,0.000225,434eca20a5975d43388455dd782b9511,58b9d5c007bf974b,777ef0e274a4ffe6,80,6331,running,cli,,run dependency-triggered validation,,,,,
start,2025-11-03T08:37:04.309733,,434eca20a5975d43388455dd782b9511,e0f13fd17733e90b,777ef0e274a4ffe6,80,6331,running,cli,,check configuration policies,,,,,
stop,2025-11-03T08:37:04.309787,0.000054,434eca20a5975d43388455dd782b9511,e0f13fd17733e90b,777ef0e274a4ffe6,80,6331,running,cli,,check configuration policies,,,,,
start,2025-11-03T08:37:04.310016,,434eca20a5975d43388455dd782b9511,31797589453cec87,777ef0e274a4ffe6,80,6331,running,cli,,applying service meta-data,,,,,
stop,2025-11-03T08:37:04.310444,0.000428,434eca20a5975d43388455dd782b9511,31797589453cec87,777ef0e274a4ffe6,80,6331,running,cli,,applying service meta-data,,,,,
stop,2025-11-03T08:37:04.310621,0.023583,434eca20a5975d43388455dd782b9511,777ef0e274a4ffe6,ac944baf3af2fa09,80,6331,running,cli,,validate,,transaction_phase,validate,,
start,2025-11-03T08:37:04.310669,,434eca20a5975d43388455dd782b9511,41396be81bb80227,ac944baf3af2fa09,80,6331,running,cli,,write-start,,transaction_phase,write-start,,
info,2025-11-03T08:37:04.310987,,434eca20a5975d43388455dd782b9511,41396be81bb80227,ac944baf3af2fa09,80,6331,running,cli,device-manager,write-start,,transaction_phase,write-start,,
start,2025-11-03T08:37:04.314771,,434eca20a5975d43388455dd782b9511,a818548b93eca6e7,41396be81bb80227,80,6331,running,cli,,restore out-of-band checkpoint (requested out-of-band),,,,,
stop,2025-11-03T08:37:04.314953,0.000182,434eca20a5975d43388455dd782b9511,a818548b93eca6e7,41396be81bb80227,80,6331,running,cli,,restore out-of-band checkpoint (requested out-of-band),,,,,
stop,2025-11-03T08:37:04.316861,0.006192,434eca20a5975d43388455dd782b9511,41396be81bb80227,ac944baf3af2fa09,80,6331,running,cli,,write-start,,transaction_phase,write-start,,
stop,2025-11-03T08:37:04.316928,0.029958,434eca20a5975d43388455dd782b9511,ac944baf3af2fa09,,80,6331,running,cli,,dry run transaction,,,,,
start,2025-11-03T08:37:25.379599,,403bc6b2cbc5fc15c441df2a816ae67d,c2f22287e0a719e8,,80,6331,running,cli,,dry run transaction,,,,,
start,2025-11-03T08:37:25.379653,,403bc6b2cbc5fc15c441df2a816ae67d,d795276bba506441,c2f22287e0a719e8,80,6331,running,cli,,validate,,transaction_phase,validate,,
start,2025-11-03T08:37:25.380086,,403bc6b2cbc5fc15c441df2a816ae67d,1686222c652eb66e,d795276bba506441,80,6331,running,cli,,creating out-of-band checkpoint,,,,,
stop,2025-11-03T08:37:25.380148,0.000062,403bc6b2cbc5fc15c441df2a816ae67d,1686222c652eb66e,d795276bba506441,80,6331,running,cli,,creating out-of-band checkpoint,,,,,
start,2025-11-03T08:37:25.380299,,403bc6b2cbc5fc15c441df2a816ae67d,b2af97f9beee2672,d795276bba506441,80,6331,running,cli,,run pre-transform validation,,,,,
start,2025-11-03T08:37:25.380478,,403bc6b2cbc5fc15c441df2a816ae67d,379140e4b374fe81,b2af97f9beee2672,80,6331,running,cli,,run pre-transform dependency-triggered validation,,,,,
stop,2025-11-03T08:37:25.380720,0.000242,403bc6b2cbc5fc15c441df2a816ae67d,379140e4b374fe81,b2af97f9beee2672,80,6331,running,cli,,run pre-transform dependency-triggered validation,,,,,
stop,2025-11-03T08:37:25.380864,0.000565,403bc6b2cbc5fc15c441df2a816ae67d,b2af97f9beee2672,d795276bba506441,80,6331,running,cli,,run pre-transform validation,,,,,
start,2025-11-03T08:37:25.380899,,403bc6b2cbc5fc15c441df2a816ae67d,379140e4b374fe81,d795276bba506441,80,6331,running,cli,,run transforms and transaction hooks,,,,,
start,2025-11-03T08:37:25.381330,,403bc6b2cbc5fc15c441df2a816ae67d,29427aba4d0f6b16,379140e4b374fe81,80,6331,running,cli,service-manager,creating service,,service,/service-a/service[name='A'],,
,,,,,,,,,,,,,service_operation,create,,
stop,2025-11-03T08:37:25.386775,0.005445,403bc6b2cbc5fc15c441df2a816ae67d,29427aba4d0f6b16,379140e4b374fe81,80,6331,running,cli,service-manager,creating service,,service,/service-a/service[name='A'],,
,,,,,,,,,,,,,service_operation,create,,
start,2025-11-03T08:37:25.386924,,403bc6b2cbc5fc15c441df2a816ae67d,2cddc0a184e7728b,379140e4b374fe81,80,6331,running,cli,service-manager,creating service,,service,/service-b/service[name='B'],,
,,,,,,,,,,,,,service_operation,create,,
stop,2025-11-03T08:37:25.391189,0.004265,403bc6b2cbc5fc15c441df2a816ae67d,2cddc0a184e7728b,379140e4b374fe81,80,6331,running,cli,service-manager,creating service,,service,/service-b/service[name='B'],,
,,,,,,,,,,,,,service_operation,create,,
start,2025-11-03T08:37:25.391350,,403bc6b2cbc5fc15c441df2a816ae67d,5012d2fe733b5f62,379140e4b374fe81,80,6331,running,cli,service-manager,creating service,,service,/service-c/service[name='C'],,
,,,,,,,,,,,,,service_operation,create,,
stop,2025-11-03T08:37:25.396118,0.004768,403bc6b2cbc5fc15c441df2a816ae67d,5012d2fe733b5f62,379140e4b374fe81,80,6331,running,cli,service-manager,creating service,,service,/service-c/service[name='C'],,
,,,,,,,,,,,,,service_operation,create,,
stop,2025-11-03T08:37:25.396801,0.015902,403bc6b2cbc5fc15c441df2a816ae67d,379140e4b374fe81,d795276bba506441,80,6331,running,cli,,run transforms and transaction hooks,,,,,
start,2025-11-03T08:37:25.396897,,403bc6b2cbc5fc15c441df2a816ae67d,877bfc238faacae5,d795276bba506441,80,6331,running,cli,,mark inactive,,,,,
stop,2025-11-03T08:37:25.397156,0.000259,403bc6b2cbc5fc15c441df2a816ae67d,877bfc238faacae5,d795276bba506441,80,6331,running,cli,,mark inactive,,,,,
start,2025-11-03T08:37:25.397246,,403bc6b2cbc5fc15c441df2a816ae67d,571a1020f46e281d,d795276bba506441,80,6331,running,cli,,pre validate,,,,,
stop,2025-11-03T08:37:25.397609,0.000363,403bc6b2cbc5fc15c441df2a816ae67d,571a1020f46e281d,d795276bba506441,80,6331,running,cli,,pre validate,,,,,
start,2025-11-03T08:37:25.397707,,403bc6b2cbc5fc15c441df2a816ae67d,08c124f27f888a6b,d795276bba506441,80,6331,running,cli,,run validation over the changeset,,,,,
stop,2025-11-03T08:37:25.398405,0.000698,403bc6b2cbc5fc15c441df2a816ae67d,08c124f27f888a6b,d795276bba506441,80,6331,running,cli,,run validation over the changeset,,,,,
start,2025-11-03T08:37:25.398446,,403bc6b2cbc5fc15c441df2a816ae67d,08c124f27f888a6b,d795276bba506441,80,6331,running,cli,,run dependency-triggered validation,,,,,
